종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"005760","ACTS","5860","0","0.00","5830","5970","5730","105541","613714660","35740643960","6099086"
"015670","AP우주통신","490","0","0.00","0","0","0","0","0","16627469880","33933612"
"015675","AP우주통신(1우B)","4045","0","0.00","0","0","0","0","0","145098195","35871"
"004560","BNG스틸","7200","-80","-1.10","7280","7340","7120","13105","94665200","108567439200","15078811"
"004565","BNG스틸(1우B)","5630","150","2.74","6270","6270","5530","50","291300","618466760","109852"
"001460","BYC","150000","0","0.00","159000","159000","150000","101","15159000","93692250000","624615"
"001465","BYC(1우B)","64000","-1900","-2.88","64600","65000","62900","38","2397600","13784640000","215385"
"000790","C&상선","385","0","0.00","380","385","380","1029926","393916415","71643790680","186087768"
"013200","C&우방","3450","-10","-0.29","3415","3550","3415","4771","16552300","70507570650","20436977"
"084680","C&우방랜드","3960","30","0.76","3930","3985","3915","210","828250","26037859320","6575217"
"008400","C&진도","3210","45","1.42","3165","3225","3165","34400","110308950","47104685970","14674357"
"008405","C&진도(1우B)","45100","50","0.11","0","0","0","0","0","167456300","3713"
"001040","CJ","112000","0","0.00","112000","112500","110500","160457","17914269500","3399360272000","30351431"
"001045","CJ(1우B)","53600","700","1.32","52900","53600","52500","5261","280390200","192298361600","3587656"
"001047","CJ(2우B)","99500","900","0.91","97500","99900","97500","2595","257847900","160943837000","1617526"
"001049","CJ(3우B)","93400","1500","1.63","90600","93600","90600","2337","217042200","79044980400","846306"
"079160","CJCGV","21400","-400","-1.83","21350","21500","21100","80110","1707636500","441166307200","20615248"
"004530","CKF","11300","-200","-1.74","11200","11650","11000","28770","325060000","27080596900","2396513"
"069730","DSR제강","1220","-10","-0.81","1230","1230","1200","47020","56936900","17568000000","14400000"
"017940","E1","41950","650","1.57","40850","42150","40850","5710","238883500","287777000000","6860000"
"007700","F&F","4810","-125","-2.53","5050","5050","4800","47883","232149030","74074000000","15400000"
"001370","FnC코오롱","17600","0","0.00","17300","17900","17300","3671","64806600","211263360000","12003600"
"001375","FnC코오롱(1우B)","7280","190","2.68","7290","7290","6940","2610","18796000","5275211760","724617"
"078930","GS","30100","200","0.67","30000","30100","29400","359635","10705227000","2796752877800","92915378"
"078935","GS(1우B)","19600","250","1.29","19100","19600","19100","4250","82748000","34982589600","1784826"
"006360","GS건설","83100","-700","-0.84","84500","84900","82100","131714","10931038900","4238100000000","51000000"
"035000","GⅡR","14500","-300","-2.03","14800","14800","14400","113941","1656668500","170707050000","11772900"
"011420","IB스포츠","8300","200","2.47","8100","8490","8020","9440","78402500","130496119200","15722424"
"003560","IHQ","6810","170","2.56","6700","6960","6700","181406","1246669060","259790304360","38148356"
"002380","KCC","289500","-500","-0.17","289500","291500","285000","12371","3569491500","3045540000000","10520000"
"009070","KCTC","33100","400","1.22","31300","34500","29600","126173","4071253500","99300000000","3000000"
"017300","KDS","745","-35","-4.49","780","790","740","723500","546575850","22906666235","30747203"
"092220","KEC","1160","15","1.31","1150","1210","1135","518856","605016810","70076736800","60410980"
"006200","KEC홀딩스","1775","-25","-1.39","1790","1850","1675","225930","398488750","35743157250","20136990"
"001390","KG케미칼","8140","110","1.37","7970","8200","7970","33390","268924500","87098000000","10700000"
"092230","KPC홀딩스","31950","100","0.31","31850","33400","31400","2940","94040500","134977439700","4224646"
"030200","KT","46500","-650","-1.38","47300","47900","46500","751291","35365679500","13002674100000","279627400"
"033780","KT&G","56500","-500","-0.88","57300","57500","56200","600653","33975723700","8330501080500","147442497"
"030210","KTB네트워크","5240","285","5.75","4980","5240","4980","513681","2638882420","316045842080","60314092"
"032390","KTF","29750","-500","-1.65","30300","30500","29750","246292","7391584350","5985940707250","201208091"
"003550","LG","29850","100","0.34","29700","30000","29350","787217","23306144650","5150830360350","172557131"
"003555","LG(1우B)","16700","0","0.00","16750","16750","16600","110960","1883034000","55355105900","3314677"
"015940","LG데이콤","19600","300","1.55","19450","19750","19300","553754","10813056900","1590024814000","81123715"
"001120","LG상사","22950","0","0.00","23100","23150","22800","189177","4335713700","889542000000","38760000"
"068870","LG생명과학","47200","400","0.85","47000","47200","45900","152568","7057176700","782433928000","16576990"
"068875","LG생명과학(1우B)","27250","250","0.93","27300","27300","26800","270","7296500","6436886000","236216"
"051900","LG생활건강","123500","2500","2.07","123000","125000","121500","20068","2472526000","1928847329500","15618197"
"051905","LG생활건강(1우B)","50400","450","0.90","49800","50400","49800","1770","88488000","105824728800","2099697"
"012990","LG석유화학","23500","-150","-0.63","23650","24000","22800","517919","12219824000","1062200000000","45200000"
"066570","LG전자","55000","0","0.00","55100","55600","54800","366932","20205214200","7955629770000","144647814"
"066575","LG전자(1우B)","32400","350","1.09","32050","32400","32050","36533","1176223700","556826140800","17185992"
"032710","LG카드","61900","100","0.16","61900","61900","61700","56080","3467931400","7760366045700","125369403"
"093050","LG패션","21000","650","3.19","20500","21200","20350","463725","9631003500","614040000000","29240000"
"034220","LG필립스LCD","27850","-250","-0.89","28200","28550","27850","465078","13100790100","9965167245000","357815700"
"051910","LG화학","43100","150","0.35","42700","43100","42500","276605","11866660500","2776720258400","64425064"
"051915","LG화학(1우B)","25650","350","1.38","25100","25650","25100","25830","657474500","222161088150","8661251"
"002550","LIG손해보험","14400","250","1.77","14250","14600","14150","536837","7723609800","864000000000","60000000"
"010120","LS산전","32350","350","1.09","31900","32400","31550","107682","3462054700","970500000000","30000000"
"006260","LS전선","38400","400","1.05","38050","38600","37450","152146","5798296400","1236480000000","32200000"
"076170","MK픽처스","555","15","2.78","545","560","540","244431","134530465","24734679450","44566990"
"016420","NH투자증권","12300","50","0.41","12400","12400","12100","165644","2028113700","624099466200","50739794"
"008260","NI테크","770","15","1.99","770","780","755","55770","42902050","21888674500","28426850"
"005490","POSCO","309000","2000","0.65","310000","313000","308000","161886","50130657000","26940732015000","87186835"
"036530","S&TC","25600","350","1.39","24900","25700","24900","12130","309331000","192000000000","7500000"
"064960","S&T대우","22900","200","0.88","22700","22900","22350","3385","76938000","236528214700","10328743"
"003570","S&T중공업","6530","0","0.00","6530","6600","6470","66438","435370340","210693806420","32265514"
"010950","S-Oil","68500","-500","-0.72","69100","69100","68000","180867","12380222200","7711921252000","112582792"
"010955","S-Oil(1우B)","52500","400","0.77","51800","53300","51800","11800","623567000","211151167500","4021927"
"034120","SBS","54300","1100","2.07","53700","54300","52000","67615","3607248300","1415878853100","26075117"
"002360","SH케미칼","4375","75","1.74","4310","4450","4290","21896","95704800","40308506875","9213373"
"002365","SH케미칼(1우B)","74700","9700","14.92","73700","74700","66100","101","7441500","46463400","622"
"009160","SIMPAC","2280","50","2.24","2230","2280","2190","157325","353119550","59280000000","26000000"
"025530","SJM","4050","-20","-0.49","4050","4120","4050","47150","192699450","72167521050","17819141"
"003600","SK","73000","2200","3.11","70800","73000","70800","488042","35304949700","9393283906000","128675122"
"003605","SK(1우B)","43350","900","2.12","42500","43350","42500","2560","109773500","76224299100","1758346"
"011790","SKC","23450","450","1.96","23200","23450","22750","215250","4989133500","816744810350","34829203"
"018670","SK가스","46750","-1250","-2.60","48100","49350","46750","45820","2186241000","403390088750","8628665"
"001740","SK네트웍스","38000","300","0.80","38800","39600","37050","314453","11966655700","9095122350000","239345325"
"001745","SK네트웍스(1우B)","18950","-350","-1.81","20000","20450","18150","1380","26154000","2153629600","113648"
"001510","SK증권","1355","25","1.88","1350","1365","1340","2998992","4053363900","433758766705","320117171"
"001515","SK증권(1우B)","1470","0","0.00","1470","1520","1450","5110","7556500","5751395580","3912514"
"006120","SK케미칼","39800","0","0.00","40150","40250","39800","75200","3004333000","824286775400","20710723"
"006125","SK케미칼(1우B)","16800","100","0.60","16900","16900","16450","5390","89145000","47327700000","2817125"
"017670","SK텔레콤","222500","1500","0.68","224000","224000","220500","68093","15118638500","18065600697500","81193711"
"007050","SNG21","23500","-650","-2.69","23500","25000","22500","26312","629964500","13814169500","587837"
"011810","STX","17000","400","2.41","16650","17450","16650","106056","1817688000","478691355000","28158315"
"077970","STX엔진","23700","550","2.38","23300","23700","23100","153455","3609918000","679640942100","28676833"
"067250","STX조선","15600","-300","-1.89","16050","16150","15600","364706","5761125900","1123200000000","72000000"
"011000","VGX인터","7000","310","4.63","6760","7100","6700","729406","5025096460","179238150000","25605450"
"024070","WISCOM","4070","80","2.01","3940","4100","3940","38520","156102450","61155494400","15025920"
"000500","가온전선","26050","0","0.00","26100","26200","25850","9520","247759500","101595000000","3900000"
"035250","강원랜드","20200","-400","-1.94","20400","20700","20050","331125","6733030500","4321598100000","213940500"
"092970","거북선1호","4955","-25","-0.50","4955","4955","4955","50","247750","11703710000","2362000"
"000860","건설화학","16400","250","1.55","16100","16400","15650","7420","120457500","106600000000","6500000"
"000800","경남기업","17800","800","4.71","16900","17800","16900","108370","1894674500","255652998400","14362528"
"008020","경남에너지","2675","5","0.19","2670","2710","2645","51700","138118500","79707670500","29797260"
"002100","경농","6050","-50","-0.82","6060","6060","6000","570","3426500","65617543750","10845875"
"012320","경동가스","36000","0","0.00","36000","36000","35500","1100","39524000","114048000000","3168000"
"009450","경동나비엔","23500","400","1.73","23450","23500","23050","4470","104280000","54144000000","2304000"
"000050","경방","136000","6000","4.62","135000","140000","132000","1102","151806000","282880000000","2080000"
"012610","경인양행","11250","-150","-1.32","11600","11600","11250","3440","38996500","33750000000","3000000"
"009140","경인전자","10050","150","1.52","9810","10950","9800","1150","11477300","15786509850","1570797"
"013580","계룡건설","39150","-50","-0.13","39200","39600","38800","6470","253641500","349645009050","8930907"
"012200","계양전기","1995","25","1.27","1975","2005","1970","200073","396374560","65037000000","32600000"
"012205","계양전기(1우B)","1205","-5","-0.41","1200","1205","1185","1460","1748950","1687000000","1400000"
"027840","고덴시","3270","30","0.93","3240","3295","3220","81540","266152500","75425607450","23065935"
"004200","고려개발","22500","-100","-0.44","22600","22800","22250","59437","1340042000","270000000000","12000000"
"002140","고려산업","3490","85","2.50","3405","3510","3370","2470","8443800","17407718650","4987885"
"003660","고려시멘트","11900","0","0.00","11300","11900","11300","1420","16885000","47097891400","3957806"
"010130","고려아연","98700","900","0.92","98100","99700","97900","77706","7678414100","1862469000000","18870000"
"002240","고려제강","26100","450","1.75","25800","26100","25800","5460","141720000","261000000000","10000000"
"002540","고제","4230","-40","-0.94","4250","4395","4190","109590","468867300","43884228060","10374522"
"084160","골든경매일호","4350","0","0.00","0","0","0","0","0","14904961800","3426428"
"009290","광동제약","2970","10","0.34","2965","2990","2960","220762","656404675","155689927470","52420851"
"017040","광명전기","760","25","3.40","740","760","740","594000","444557550","28434218200","37413445"
"017900","광전자","2480","60","2.48","2430","2500","2430","65190","160840900","36115989520","14562899"
"037710","광주신세계","162000","5500","3.51","157500","162000","156000","7009","1110987000","259200000000","1600000"
"030610","교보증권","10950","50","0.46","11000","11200","10900","206716","2273348700","394200000000","36000000"
"007690","국도화학","22950","250","1.10","23100","23100","22600","22224","507727800","133353637200","5810616"
"005320","국동","2140","140","7.00","1990","2250","1990","162550","339327150","24138786980","11279807"
"060000","국민은행","74900","300","0.40","75000","75300","74000","481681","35914552600","25194795788400","336379116"
"001140","국보","9650","-400","-3.98","10200","10250","9600","41833","410351350","9913483600","1027304"
"000680","국제상사","1430","0","0.00","0","0","0","0","0","44927335310","31417717"
"000685","국제상사(1우B)","2835","0","0.00","0","0","0","0","0","104999895","37037"
"002720","국제약품","2820","25","0.89","2755","2840","2755","17540","49140700","35496468000","12587400"
"085450","굿리치경매1","5990","-10","-0.17","5990","5990","5990","20","119800","18177355830","3034617"
"088510","굿리치경매2","5950","0","0.00","0","0","0","0","0","6643942550","1116629"
"083420","그린소프트켐","13750","200","1.48","13600","13850","13400","2270","30989000","27500000000","2000000"
"000470","그린화재보험","5280","90","1.73","5190","5300","5150","6890","36287900","56496000000","10700000"
"014530","극동유화","8320","-130","-1.54","8310","8350","8150","12690","104794000","26624000000","3200000"
"002250","근화제약","23000","200","0.88","23000","23100","22550","9861","225801500","74979793000","3259991"
"086280","글로비스","28050","0","0.00","28100","28450","28000","31460","884840500","1051875000000","37500000"
"014280","금강공업","8610","-110","-1.26","8720","8830","8500","14730","127286600","41809850040","4855964"
"014285","금강공업(1우B)","6340","230","3.76","6200","6340","6170","30","187100","747961500","117975"
"008870","금비","39500","-500","-1.25","39800","39800","39500","220","8704000","39500000000","1000000"
"001570","금양","550","5","0.92","540","560","540","193260","106553755","16105309550","29282381"
"002990","금호산업","24950","350","1.42","24500","24950","24300","196450","4842236200","1013542901900","40622962"
"002995","금호산업(1우B)","9870","360","3.79","9500","9870","9500","16120","156175900","125423064480","12707504"
"011780","금호석유","33000","900","2.80","32100","33000","31500","94594","3050096000","839006751000","25424447"
"011785","금호석유(1우B)","13850","650","4.92","13200","13850","13200","1480","20080500","41875281100","3023486"
"001210","금호전기","38200","300","0.79","38000","38350","37900","20450","781322000","234081387000","6127785"
"010050","금호종금","5950","10","0.17","5980","6040","5930","1660","9891500","59726867550","10038129"
"073240","금호타이어","12600","100","0.80","12600","12650","12550","270212","3409102200","882000000000","70000000"
"006070","기린","1370","-15","-1.08","1390","1420","1365","2035527","2826424690","61736627840","45063232"
"000270","기아차","13450","150","1.13","13400","13450","13200","482972","6442915900","4670249619750","347230455"
"024110","기업은행","17150","-100","-0.58","17150","17500","17000","983369","16993191250","6948349682750","405151585"
"014990","나산","15600","0","0.00","16750","16750","15500","12550","196296000","70626160800","4527318"
"014590","나자인","1295","5","0.39","1350","1360","1290","19400","25464300","23006982950","17766010"
"001260","남광토건","5580","-100","-1.76","5640","5700","5540","10640","59410100","87814591560","15737382"
"001265","남광토건(1우B)","15200","0","0.00","0","0","0","0","0","28209953600","1855918"
"008350","남선알미늄","3065","-105","-3.31","3240","3240","3050","109140","338960750","21838799300","7125220"
"008355","남선알미늄(1우B)","5770","60","1.05","5710","5770","5710","220","1256800","177652530","30789"
"004270","남성","9950","560","5.96","9280","9950","9270","3126","30495000","36031099200","3621216"
"003920","남양유업","839000","11000","1.33","840000","840000","829000","24","20101000","604080000000","720000"
"003925","남양유업(1우B)","378500","0","0.00","378500","378500","378500","3","1135500","63081567000","166662"
"002070","남영L&F","32500","100","0.31","32400","32800","32400","140","4560500","44641642500","1373589"
"001950","남한제지","4760","-60","-1.24","4810","4900","4745","9860","47282700","29953556640","6292764"
"001955","남한제지(1우B)","2735","0","0.00","0","0","0","0","0","1504250000","550000"
"025860","남해화학","2935","25","0.86","2915","2940","2910","135852","396960150","145807404205","49678843"
"004250","내쇼날푸라스","10200","200","2.00","10000","10200","10000","1150","11578500","37454400000","3672000"
"004255","내쇼날푸라스(1우B)","9500","0","0.00","0","0","0","0","0","5016000000","528000"
"005720","넥센","20700","500","2.48","20200","20700","19600","4140","81656000","55433358000","2677940"
"005725","넥센(1우B)","9610","0","0.00","0","0","0","0","0","3460176600","360060"
