종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"004560","BNG스틸","8650","160","1.88","8490","8670","8360","137742","1170453480","130431715150","15078811"
"004565","BNG스틸우","8370","120","1.45","8200","8660","8100","380","3132400","919461240","109852"
"001460","BYC","125000","1500","1.21","122000","125500","121500","138","17001000","78076875000","624615"
"001465","BYC우","55000","0","0.00","55000","55000","55000","6","330000","11846175000","215385"
"084680","C&우방랜드","1130","-10","-0.88","1130","1170","1020","1365615","1535952400","37149976050","32876085"
"001040","CJ","62700","2300","3.81","60400","62700","59000","111955","6833353500","1781786404200","28417646"
"079160","CJ CGV","22000","500","2.33","21700","22000","21500","173233","3780691000","453584076000","20617458"
"001049","CJ3우B","61300","0","0.00","0","0","0","0","0","32683504900","533173"
"001045","CJ우","22800","0","0.00","22850","23000","22450","3481","79202300","51533084400","2260223"
"097950","CJ제일제당","205500","-2500","-1.20","205500","208500","205000","65565","13505151500","2474352342000","12040644"
"097959","CJ제일제당 3우B","211000","0","0.00","0","0","0","0","0","66071063000","313133"
"097955","CJ제일제당 우","60700","200","0.33","60500","60700","60100","83","5010100","80575183100","1327433"
"069730","DSR제강","4640","70","1.53","4645","4670","4520","124295","570903880","66816000000","14400000"
"017940","E1","67800","1400","2.11","66300","67800","66300","8433","567021200","465108000000","6860000"
"007700","F&F","3175","-5","-0.16","3150","3200","3150","1800","5715650","48895000000","15400000"
"114090","GKL","19650","0","0.00","19600","19900","18600","835787","16192423300","1215463915500","61855670"
"078930","GS","33800","450","1.35","33250","34000","32900","469802","15772482650","3140539776400","92915378"
"006360","GS건설","108500","0","0.00","109500","110500","107500","257902","28010502000","5533500000000","51000000"
"001250","GS글로벌","22200","250","1.14","21900","22300","21400","83604","1844160300","250124780400","11266882"
"078935","GS우","17250","-1050","-5.74","17450","17550","17250","1114","19351000","30788248500","1784826"
"035000","GⅡR","11950","250","2.14","11850","11950","11200","17463","202679300","197980537550","16567409"
"001500","HMC투자증권","21700","300","1.40","21550","22000","21000","232466","5031848750","636615308700","29337111"
"011420","IB스포츠","3750","105","2.88","3790","3790","3340","114150","413133030","73584090000","19622424"
"003560","IHQ","1050","-5","-0.47","1030","1065","1020","261462","272248230","42351978900","40335218"
"005560","JS전선","17950","0","0.00","18100","18100","17600","13391","238535900","204246588000","11378640"
"105560","KB금융","59700","200","0.34","58200","59700","58100","1118610","66193126300","23065196072100","386351693"
"002380","KCC","371500","3500","0.95","368000","374000","364000","33206","12317968000","3908180000000","10520000"
"009070","KCTC","27150","150","0.56","26600","27200","25300","4170","110409000","81450000000","3000000"
"009440","KC코트렐","8700","0","0.00","0","0","0","0","0","147900000000","17000000"
"017300","KDS","215","0","0.00","220","230","205","50878915","11170346510","35822452900","166616060"
"092220","KEC","985","100","11.30","885","1005","875","12545660","12069197830","129439815300","131410980"
"006200","KEC홀딩스","1825","45","2.53","1780","1870","1700","140333","252988975","49415402725","27076933"
"109070","KGP","1655","-25","-1.49","1680","1680","1630","1820","3025250","18184420075","10987565"
"001390","KG케미칼","10050","130","1.31","9990","10150","9890","92060","924636800","107535000000","10700000"
"001940","KISCO홀딩스","78200","200","0.26","77700","78900","75600","2134","165029900","288970583200","3695276"
"083420","KPX그린케미칼","24300","450","1.89","24300","25200","23850","600","14564000","48600000000","2000000"
"025000","KPX케미칼","47500","500","1.06","46150","47500","46150","1970","93137000","229900000000","4840000"
"092230","KPX홀딩스","60700","1300","2.19","60700","60700","60700","2","121400","256436012200","4224646"
"025850","KPX화인케미칼","60000","-1000","-1.64","61000","61900","59500","14761","891323300","228000000000","3800000"
"044450","KSS해운","4510","35","0.78","4435","4510","4435","9920","44484000","52284159400","11592940"
"030200","KT","39100","-400","-1.01","39550","39600","39000","1101766","43155697600","10209471692800","261111808"
"033780","KT&G","64400","-700","-1.08","64900","64900","64100","569028","36593844200","8841636806800","137292497"
"030210","KTB투자증권","4050","60","1.50","3965","4050","3965","196098","785303700","244272072600","60314092"
"003550","LG","72600","200","0.28","72000","72800","71400","298182","21559646700","12527647710600","172557131"
"015940","LG데이콤","17800","0","0.00","0","0","0","0","0","1482511287800","83287151"
"034220","LG디스플레이","39250","750","1.95","38600","39400","38400","1798393","70310480850","14044266225000","357815700"
"001120","LG상사","30250","1250","4.31","29850","30300","29550","570823","17076397550","1172490000000","38760000"
"068870","LG생명과학","62000","1300","2.14","61000","62000","60600","58250","3568123800","1027773380000","16576990"
"068875","LG생명과학우","28750","100","0.35","28650","28750","28650","80","2295000","6791210000","236216"
"051900","LG생활건강","291000","7000","2.46","283000","291000","282500","26060","7504222000","4544895327000","15618197"
"051905","LG생활건강우","81400","200","0.25","83200","83200","80500","734","59352500","170915335800","2099697"
"003555","LG우","29750","0","0.00","29750","29750","29600","4080","121277000","98611640750","3314677"
"011070","LG이노텍","99100","2800","2.91","97000","100500","97000","303131","30058863000","1697762371000","17131810"
"066570","LG전자","121500","2000","1.67","121000","122000","120000","472623","57262368000","17574709401000","144647814"
"066575","LG전자우","50000","300","0.60","49300","50200","49300","32598","1623979000","859299600000","17185992"
"032640","LG텔레콤","8490","130","1.56","8350","8530","8320","786331","6653154950","2354093870700","277278430"
"045820","LG파워콤","6090","0","0.00","0","0","0","0","0","812406000000","133400000"
"093050","LG패션","31550","600","1.94","30800","31550","30500","99283","3102643900","922522000000","29240000"
"108670","LG하우시스","120000","2500","2.13","118000","120000","117000","72602","8632656000","1076120400000","8967670"
"108675","LG하우시스우","52000","400","0.78","52100","52100","50100","781","39687800","53681160000","1032330"
"051910","LG화학","228500","4500","2.01","222500","228500","221000","361388","81550144500","15142946350000","66271100"
"051915","LG화학우","82500","500","0.61","81200","82500","80100","33860","2748560100","629385982500","7628921"
"002550","LIG손해보험","21650","250","1.17","21400","21800","21000","490521","10475153600","1299000000000","60000000"
"006260","LS","116000","1500","1.31","114500","116500","112500","171980","19802052000","3735200000000","32200000"
"000680","LS네트웍스","8500","-310","-3.52","8870","8990","8490","97480","839745400","670131100500","78838953"
"000685","LS네트웍스우","50400","2850","5.99","47050","50400","46900","123","5888550","849038400","16846"
"010120","LS산전","97000","0","0.00","96500","97400","95700","127350","12314066000","2910000000000","30000000"
"023150","MH에탄올","5550","-140","-2.46","5690","5710","5520","7738","43146900","38850000000","7000000"
"035420","NHN","192000","-2000","-1.03","194500","194500","190000","233858","44872523500","9240519168000","48127704"
"016420","NH투자증권","11200","0","0.00","11150","11250","10950","143130","1582304500","582468678400","52006132"
"008260","NI스틸","3360","220","7.01","3145","3360","3145","1285227","4205845850","95514216000","28426850"
