종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"005760","ACTS","1690","25","1.50","1680","1700","1660","9930","16630400","8141463460","4817434"
"015670","AP우주통신","235","-5","-2.08","235","240","235","195330","46067200","5192283170","22094822"
"015675","AP우주통신(1우B)","330","0","0.00","0","0","0","0","0","118377270","358719"
"004560","BNG스틸","6290","120","1.94","6020","6290","6020","19835","123072950","78724451190","12515811"
"004565","BNG스틸(1우)","4450","50","1.14","4120","4450","4120","30","130200","488841400","109852"
"001460","BYC","45800","800","1.78","46000","46000","45800","29","1330200","28607367000","624615"
"001465","BYC(1우)","24100","0","0.00","24050","24100","24000","40","962500","5190778500","215385"
"001040","CJ","70800","1300","1.87","69500","70800","68800","64480","4520868000","1698840831600","23994927"
"001045","CJ(1우)","35600","600","1.71","36150","36150","34850","8570","304073000","127720553600","3587656"
"001047","CJ(2우B)","54400","500","0.93","53200","54500","53200","1240","66672000","54538176000","1002540"
"001049","CJ(3우B)","53300","400","0.76","53000","53300","52000","710","37168000","45108109800","846306"
"079160","CJCGV","32000","800","2.56","31200","32000","31050","153647","4847129500","659687936000","20615248"
"004530","CKF","3645","-5","-0.14","3700","3790","3565","5070","18140200","8735289885","2396513"
"069730","DSR제강","570","10","1.79","560","570","560","16660","9478650","8208000000","14400000"
"017940","E1","22500","-200","-0.88","22000","22600","22000","10871","244605500","154350000000","6860000"
"014820","EASTEL","1105","15","1.38","1110","1130","1065","578530","637025050","33667758800","30468560"
"014825","EASTEL(1우)","590","10","1.72","585","600","585","3520","2076750","1565612200","2653580"
"014827","EASTEL(2우B)","1710","-10","-0.58","1800","1800","1710","40","69300","218640600","127860"
"007700","F&F","1245","15","1.22","1235","1265","1225","38880","48061900","19173000000","15400000"
"001370","FnC코오롱","4210","40","0.96","4175","4235","4175","11888","50081530","50535156000","12003600"
"001375","FnC코오롱(1우)","2975","-95","-3.09","3065","3065","2945","171","512475","2155735575","724617"
"035000","G2R","17750","250","1.43","17250","17800","17250","16220","284064000","208968975000","11772900"
"078930","GS","22400","350","1.59","22200","22450","22100","174540","3892476500","2081304467200","92915378"
"078935","GS(1우)","13450","150","1.13","13700","13700","13300","4858","64947600","24005909700","1784826"
"003560","IHQ","1590","75","4.95","1560","1700","1555","1112488","1801324720","21034835040","13229456"
"004020","INI스틸","13500","-100","-0.74","13650","13950","13300","432658","5925723500","1233871906500","91397919"
"004025","INI스틸(1우B)","8900","-200","-2.20","9100","9100","8900","520","4695000","3707348400","416556"
"009070","KCTC","33550","350","1.05","0","0","0","0","0","13420000000","400000"
"017300","KDS","170","5","3.03","165","170","165","4025900","672482300","30306765640","178275092"
"006200","KEC","19400","0","0.00","19350","19500","18600","13390","258303000","156263061800","8054797"
"001390","KG케미칼","505","0","0.00","0","0","0","0","0","54035000000","107000000"
"030200","KT","41500","0","0.00","41300","41800","41200","457855","18994937500","11821250100000","284849400"
"033780","KT&G","30950","-50","-0.16","31000","31200","30650","466357","14410336650","5429945282150","175442497"
"030210","KTB네트워크","2120","0","0.00","2125","2160","2080","673203","1427880410","127865875040","60314092"
"032390","KTF","24700","200","0.82","24850","25000","24350","281330","6975049000","4602704679300","186344319"
"003550","LG","16900","400","2.42","16700","17050","16500","406769","6861814100","2916215513900","172557131"
"003555","LG(1우)","11200","300","2.75","10950","11300","10950","17403","195142600","37124382400","3314677"
"006360","LG건설","28500","500","1.79","28000","28500","27600","140881","3962614500","1453500000000","51000000"
"010120","LG산전","18000","450","2.56","17600","18000","17400","259111","4621967500","540000000000","30000000"
"001120","LG상사","8050","-70","-0.86","8100","8160","8030","869096","7026945200","547400000000","68000000"
"068870","LG생명과학","35300","700","2.02","35000","35300","34700","154644","5415426700","585167747000","16576990"
"068875","LG생명과학(1우)","23000","300","1.32","23150","23150","22500","370","8403000","5432968000","236216"
"051900","LG생활건강","27450","-450","-1.61","27900","27900","27450","149440","4145776500","428719507650","15618197"
"051905","LG생활건강(1우)","19500","0","0.00","21000","21000","19500","1610","32698000","40944091500","2099697"
"012990","LG석유화학","26000","-150","-0.57","26200","26200","25950","430624","11204570500","1175200000000","45200000"
"006260","LG전선","21550","150","0.70","21400","21650","21100","116861","2512561050","693910000000","32200000"
"066570","LG전자","64100","1900","3.05","62700","64500","62200","726100","46052994000","8948761458300","139606263"
"066575","LG전자(1우)","36000","750","2.13","35100","36000","35100","38803","1380962500","618695712000","17185992"
"032710","LG카드","15850","650","4.28","15300","16550","15300","324715","5145724850","8196319063700","517117922"
"005940","LG투자증권","8540","30","0.35","8600","8700","8330","2175446","18551230990","1042873791260","122116369"
"005945","LG투자증권(1우)","4520","90","2.03","4510","4560","4405","170610","762969050","89816775360","19870968"
"034220","LG필립스LCD","39000","900","2.36","37700","39650","37500","268567","10412185500","12687312300000","325315700"
"002550","LG화재","5700","140","2.52","5560","5700","5560","193812","1088991500","342000000000","60000000"
"051910","LG화학","41250","250","0.61","41100","41250","40900","303549","12459108500","2657533890000","64425064"
"051915","LG화학(1우)","25300","0","0.00","25100","25500","25100","53304","1349168200","219129650300","8661251"
"076170","MK버팔로","1005","15","1.52","1000","1005","990","1019764","1020734220","44789824950","44566990"
"008260","NI테크","670","-15","-2.19","665","680","665","22325","15008350","19045989500","28426850"
"005490","POSCO","187000","500","0.27","187000","190000","187000","194729","36614421500","16303938145000","87186835"
"010950","S-Oil","67000","600","0.90","67400","67500","66000","94677","6339034000","7543047064000","112582792"
"010955","S-Oil(1우)","36100","100","0.28","35550","36100","35550","48276","1738038600","145191564700","4021927"
"034120","SBS","30200","400","1.34","30200","30900","29700","24450","741105500","787468533400","26075117"
"009160","SIMPAC","465","-5","-1.06","465","470","460","40740","18929750","12090000000","26000000"
"025530","SJM","3150","55","1.78","3105","3155","3095","44880","140569100","56130294150","17819141"
"003600","SK","56900","-100","-0.18","57700","57700","56400","479670","27335367000","7286774571800","128062822"
"003605","SK(1우)","49950","1950","4.06","48000","51300","48000","8080","400647500","95321882700","1908346"
"011790","SKC","8720","40","0.46","8860","8860","8560","232582","2023463540","283880672560","32555123"
"018670","SK가스","21900","150","0.69","21400","22350","21400","5170","113992500","188967763500","8628665"
"001740","SK네트웍스","12900","0","0.00","0","0","0","0","0","4354659411300","337570497"
"001745","SK네트웍스(1우)","11200","0","0.00","0","0","0","0","0","2227534400","198887"
"001510","SK증권","670","85","14.53","620","670","615","47241110","31058439700","214478504570","320117171"
"001515","SK증권(1우)","890","115","14.84","800","890","800","552005","472323950","3482137460","3912514"
"006120","SK케미칼","11750","350","3.07","11400","12050","11300","833330","9809610500","208627559750","17755537"
"006125","SK케미칼(1우)","4830","35","0.73","4870","4930","4775","10020","48682850","12978311430","2687021"
"017670","SK텔레콤","197000","-2000","-1.01","198000","199500","197000","133125","26393950500","16208512067000","82276711"
"007050","SNG21","4355","45","1.04","4035","4360","4035","40","167850","2560030135","587837"
"011810","STX","6820","30","0.44","6800","6880","6790","18860","128505800","156438442160","22938188"
"077970","STX엔진","5090","190","3.88","4850","5090","4780","263154","1308899710","99458284420","19539938"
"067250","STX조선","16800","200","1.20","16300","16800","16300","270220","4501973500","386066217600","22980132"
"024070","WISCOM","3155","175","5.87","2930","3155","2930","38170","115236150","47406777600","15025920"
"000500","가온전선","9160","10","0.11","9180","9180","9080","6260","57112600","35724000000","3900000"
"035250","강원랜드","13450","250","1.89","13150","13450","13100","376633","5030302350","2877499725000","213940500"
"000860","건설화학","6070","170","2.88","5900","6170","5860","38890","233945600","39455000000","6500000"
"000800","경남기업","6630","230","3.59","6420","6700","6400","41340","270180300","91192520640","13754528"
"000805","경남기업(1우B)","5770","0","0.00","0","0","0","0","0","3508160000","608000"
"001670","경남모직","1340","105","8.50","1245","1390","1235","114800","151676550","4793970600","3577590"
"001675","경남모직(1우)","1930","-50","-2.53","1900","1930","1850","260","489000","148081180","76726"
"008020","경남에너지","1425","-5","-0.35","1400","1445","1400","10890","15601150","42461095500","29797260"
"002100","경농","9880","390","4.11","9790","9880","9790","40","392500","21428129320","2168839"
"002105","경농(1우)","230000","28000","13.86","230000","230000","230000","1","230000","77280000","336"
"012320","경동가스","16300","-350","-2.10","16650","16650","16150","27340","443713000","51638400000","3168000"
"009450","경동보일러","12300","0","0.00","12350","12350","12100","5725","69989000","28339200000","2304000"
"000050","경방","51900","2500","5.06","49400","51900","49400","340","17596000","107952000000","2080000"
"012610","경인양행","12350","0","0.00","12400","12400","12350","260","3223500","37050000000","3000000"
"009140","경인전자","7250","-40","-0.55","7000","7250","6960","100","702000","11388278250","1570797"
"013580","계룡건설","16000","0","0.00","16000","16000","15750","36048","572075500","142894512000","8930907"
"012200","계양전기","1245","-15","-1.19","1270","1270","1245","97030","121913850","40587000000","32600000"
"012205","계양전기(1우)","1045","15","1.46","1030","1045","1000","4130","4212550","1463000000","1400000"
"027840","고덴시","1885","15","0.80","1855","1890","1855","20160","37784300","43479287475","23065935"
"004200","고려개발","18250","500","2.82","17600","18450","17450","14890","269170000","219000000000","12000000"
"002140","고려산업","2295","-10","-0.43","2305","2345","2280","54388","125617160","11447196075","4987885"
"003660","고려시멘트","9980","210","2.15","9710","9980","9710","1160","11422300","39498903880","3957806"
"010130","고려아연","31800","350","1.11","31900","32200","31300","184676","5868201300","600066000000","18870000"
"002240","고려제강","17400","150","0.87","16850","17450","16850","6390","111054000","174000000000","10000000"
