종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"003990","BHK","130","-10","-7.14","140","140","125","1131710","150348020","6404400990","49264623"
"004560","BNG스틸","4125","25","0.61","4035","4190","4035","45454","187185500","62200095375","15078811"
"004565","BNG스틸우","5060","50","1.00","5060","5060","5060","10","50600","555851120","109852"
"001460","BYC","135500","3500","2.65","132000","135500","131500","538","71681000","84635332500","624615"
"001465","BYC우","45500","-350","-0.76","45000","45500","45000","40","1814000","9800017500","215385"
"000790","C&상선","150","-15","-9.09","145","170","145","14362080","2206590075","29736316950","198242113"
"013200","C&우방","280","5","1.82","250","300","235","2623233","701014910","6561832760","23435117"
"084680","C&우방랜드","215","-35","-14.00","215","255","215","10158772","2282977130","7068358275","32876085"
"008400","C&중공업","735","-70","-8.70","685","900","685","4789189","3587125620","14925140790","20306314"
"008405","C&중공업우","240000","-32000","-11.76","231500","280000","231500","38","9235000","891120000","3713"
"001040","CJ","40000","850","2.17","39500","40000","38050","200163","7855704000","1101723440000","27543086"
"079160","CJ CGV","15200","700","4.83","14300","15200","14000","72100","1057848500","313351769600","20615248"
"001047","CJ2우B","37000","-1400","-3.65","36750","38100","35550","1465","53874500","37704517000","1019041"
"001049","CJ3우B","33500","0","0.00","33650","35000","32050","2030","67172500","17861295500","533173"
"001045","CJ우","14800","0","0.00","15200","15200","14550","7660","113242000","33451300400","2260223"
"097950","CJ제일제당","179000","-5000","-2.72","181500","183500","177500","119434","21451589000","2018527152000","11276688"
"097957","CJ제일제당 2우B","166500","1000","0.60","164500","169000","163000","1572","261081000","99647752500","598485"
"097959","CJ제일제당 3우B","143000","-1500","-1.04","145000","148500","140000","155","22601500","44778019000","313133"
"097955","CJ제일제당 우","47950","2150","4.69","45800","48900","45100","3970","185952500","63650412350","1327433"
"069730","DSR제강","2135","80","3.89","2040","2320","2030","238861","523847785","30744000000","14400000"
"017940","E1","69900","600","0.87","69300","70500","68100","11785","822366200","479514000000","6860000"
"007700","F&F","3000","165","5.82","2710","3000","2710","23130","67503450","46200000000","15400000"
"001370","FnC코오롱","10550","200","1.93","10150","11100","10150","11343","121686050","126637980000","12003600"
