,종목코드,종목명
334,6490,인스코비
335,17550,수산중공업
336,14580,태경비케이
337,36580,팜스코
338,78520,에이블씨엔씨
339,33920,무학
340,4080,신흥
341,100840,SNT에너지
342,13570,디와이
343,7210,벽산
344,4150,한솔홀딩스
345,7540,샘표
346,210540,디와이파워
347,860,강남제비스코
348,3160,디아이
349,320,노루홀딩스
350,2700,신일전자
351,92200,디아이씨
352,123690,한국화장품
353,63160,종근당바이오
354,3350,한국화장품제조
355,8700,아남전자
356,5430,한국공항
357,8040,사조동아원
358,4140,동방
359,17900,광전자
360,14530,극동유화
361,120030,조선선재
362,6890,태경케미컬
363,500,가온전선
364,34590,인천도시가스
365,2600,조흥
366,91090,세원이앤씨
367,32560,황금에스티
368,7280,한국특강
369,520,삼일제약
370,2450,삼익악기
371,13360,일성건설
372,10040,한국내화
373,3480,한진중공업홀딩스
374,8970,동양철관
375,2720,국제약품
376,12800,대창
377,220,유유제약
378,23800,인지컨트롤스
379,23000,삼원강재
380,14990,인디에프
381,2460,화성산업
382,264900,크라운제과
383,6370,대구백화점
384,4720,팜젠사이언스
385,214420,토니모리
386,25820,이구산업
387,4540,깨끗한나라
388,12690,모나리자
389,9190,대양금속
390,12200,계양전기
391,47400,유니온머티리얼
392,9200,무림페이퍼
393,5740,크라운해태홀딩스
394,5800,신영와코루
395,4960,한신공영
396,17180,명문제약
397,75180,새론오토모티브
398,16090,대현
399,2760,보락
400,4910,조광페인트
401,13700,까뮤이앤씨
402,24890,대원화성
403,10960,삼호개발
404,16880,웅진
405,11690,와이투솔루션
406,227840,현대코퍼레이션홀딩스
407,2360,SH에너지화학
408,93230,이아이디
409,300,대유플러스
410,9470,삼화전기
411,4770,써니전자
412,17040,광명전기
413,69640,한세엠케이
414,446070,유니드비티플러스
415,11330,유니켐
416,58730,다스코
417,2140,고려산업
418,650,천일고속
419,1260,남광토건
420,163560,동일고무벨트
421,7590,동방아그로
422,890,보해양조
423,44820,코스맥스비티아이
424,78000,텔코웨어
425,13870,지엠비코리아
426,9810,플레이그램
427,2410,범양건영
428,7980,태평양물산
429,129260,인터지스
430,102280,쌍방울
431,25750,한솔홈데코
432,2880,대유에이텍
433,3780,진양산업
434,16740,두올
435,9460,한창제지
436,1550,조비
437,4450,삼화왕관
438,6660,삼성공조
439,6340,대원전선
440,111110,호전실업
441,7110,일신석재
442,134790,시디즈
443,4830,덕성
444,6380,카프로
445,8250,이건산업
446,24900,덕양산업
447,14710,사조씨푸드
448,9180,한솔로지스틱스
449,3010,혜인
450,11390,부산산업
451,100220,비상교육
452,27740,마니커
453,1140,국보
454,6090,사조오양
455,2220,한일철강
456,950,전방
457,31820,콤텍시스템
458,23350,한국종합기술
459,910,유니온
460,5110,한창
461,143210,핸즈코퍼레이션
462,12160,영흥
463,4440,삼일씨엔에스
464,6880,신송홀딩스
465,10600,웰바이오텍
466,49800,우진플라임
467,12170,아센디오
468,13520,화승코퍼레이션
469,4270,남성
470,85310,엔케이
471,2920,유성기업
472,10660,화천기계
473,14440,영보화학
474,378850,화승알앤에이
475,69460,대호에이엘
476,850,화천기공
477,71090,하이스틸
478,23810,인팩
479,590,CS홀딩스
480,6980,우성
481,34300,신세계건설
482,8420,문배철강
483,3080,성보화학
484,15260,에이엔피
485,41650,상신브레이크
486,90080,평화산업
487,26940,부국철강
488,9770,삼정펄프
489,92780,동양피스톤
490,14130,한익스프레스
491,19180,티에이치엔
492,133820,화인베스틸
493,1620,케이비아이동국실업
494,90370,메타랩스
495,5320,국동
496,5360,모나미
497,17370,우신시스템
498,4870,티웨이홀딩스
499,51630,진양화학
500,23150,MH에탄올
501,21050,서원
502,10770,평화홀딩스
503,6570,대림통상
504,7610,선도전기
505,101140,인바이오젠
506,1020,페이퍼코리아
507,11300,성안
508,145210,다이나믹디자인
509,23960,에쓰씨엔지니어링
510,25560,미래산업
511,5820,원림
512,13000,세우글로벌
513,5030,부산주공
514,11420,갤럭시아에스엠
515,6200,한국전자홀딩스
516,8600,윌비스
517,11090,에넥스
518,760,이화산업
519,12280,영화금속
520,2690,동일제강
521,9310,참엔지니어링
522,30720,동원수산
523,2870,신풍
524,84670,동양고속
525,2420,세기상사
526,72130,유엔젤
527,7120,미래아이앤지
528,10400,우진아이엔에스
529,4920,씨아이테크
530,9140,경인전자
531,2070,비비안
532,15020,이스타코
533,88790,진도
534,3680,한성기업
535,14910,성문전자
536,1420,태원물산
537,25890,한국주강
538,1210,금호전기
539,25620,제이준코스메틱
540,71950,코아스
541,8500,일정실업
542,30790,비케이탑스
