,종목코드,시가총액,연도,종목명,기업구분
0,5930,42220609650000,2001,삼성전자,B
1,270,3274633451300,2001,기아,B
2,9150,3271583884800,2001,삼성전기,B
3,6400,2690720746000,2001,삼성SDI,B
4,4170,2065609500000,2001,신세계,B
5,720,1573687440000,2001,현대건설,B
6,12330,1492701701400,2001,현대모비스,B
7,36460,1340886248500,2001,한국가스공사,B
8,140,979860906400,2001,하이트진로홀딩스,B
9,34020,979480000000,2001,두산에너빌리티,B
10,10140,866898191405,2001,삼성중공업,B
11,12750,672585450600,2001,에스원,B
12,30000,621222615000,2001,제일기획,B
13,8060,606913702400,2001,대덕,B
14,3490,578870220320,2001,대한항공,B
15,11170,560736000000,2001,롯데케미칼,B
16,4370,547960000000,2001,농심,B
17,29530,523153505100,2001,신도리코,B
18,4020,480207689650,2001,현대제철,B
19,4800,399689666550,2001,효성,B
20,100,393592937500,2001,유한양행,B
21,9830,390663570080,2001,한화솔루션,B
22,18880,384336000000,2001,한온시스템,B
23,10130,377400000000,2001,고려아연,B
24,240,368180415590,2001,한국앤컴퍼니,B
25,4000,361200000000,2001,롯데정밀화학,B
26,12450,354825000000,2001,한화에어로스페이스,B
27,150,346098672600,2001,두산,B
28,47040,341616720510,2001,대우건설,B
29,8770,333609028500,2001,호텔신라,B
30,9410,301780000000,2001,태영건설,B
31,5810,300128000000,2001,풍산홀딩스,B
32,25560,285419875000,2001,미래산업,B
33,700,261726664880,2001,유수홀딩스,B
34,3920,234000000000,2001,남양유업,B
35,16880,216250779060,2001,웅진,B
36,640,208118750000,2001,동아쏘시오홀딩스,B
37,880,205895621250,2001,한화,B
38,6200,192481163000,2001,한국전자홀딩스,B
39,1440,192000000000,2001,대한전선,B
40,3480,191738925610,2001,한진중공업홀딩스,B
41,4150,191293300950,2001,한솔홀딩스,B
42,3090,187657743600,2001,대웅,B
43,3240,184824400000,2001,태광산업,B
44,70,181701561600,2001,삼양홀딩스,B
45,3300,180484999500,2001,한일홀딩스,B
46,1800,179166556800,2001,오리온홀딩스,B
47,5500,169620000000,2001,삼진제약,B
48,5960,168875173750,2001,동부건설,B
49,28050,162000000000,2001,삼성엔지니어링,B
50,25860,159681993750,2001,남해화학,B
51,33240,151470000000,2001,자화전자,B
52,9270,147669089750,2001,신원,B
53,4690,143200000000,2001,삼천리,B
54,5250,136949196200,2001,녹십자홀딩스,B
55,2240,130527920000,2001,고려제강,B
56,23590,128200000000,2001,다우기술,B
57,20000,120849739400,2001,한섬,B
58,5950,119125048650,2001,이수화학,B
59,3000,118115719500,2001,부광약품,B
60,11760,117003116940,2001,현대코퍼레이션,B
61,6370,110117316600,2001,대구백화점,B
62,4980,109330598900,2001,성신양회,B
63,21240,109039320000,2001,코웨이,B
64,10620,108040000000,2001,현대미포조선,B
65,1680,107653120500,2001,대상,B
66,16800,107500000000,2001,퍼시스,B
67,5180,105980716650,2001,빙그레,B
68,17810,105663365200,2001,풀무원,B
69,9200,104632350000,2001,무림페이퍼,B
70,8730,103434660000,2001,율촌화학,B
71,9180,103159643080,2001,한솔로지스틱스,B
72,3070,101401025400,2001,코오롱글로벌,B
73,670,101312200000,2001,영풍,B
74,2020,100628638740,2001,코오롱,B
75,2320,100587110400,2001,한진,B
76,1260,92973954780,2001,남광토건,B
77,2030,90683470800,2001,아세아,B
78,7810,88988067500,2001,코리아써키트,B
79,2990,88558057160,2001,금호건설,B
80,8930,86642140150,2001,한미사이언스,B
81,3200,86400000000,2001,일신방직,B
82,9810,85892987700,2001,플레이그램,B
83,11930,80741899350,2001,신성이엔지,B
84,35150,79800000000,2001,백산,B
85,6390,77112000000,2001,한일현대시멘트,B
86,15360,76800000000,2001,예스코홀딩스,B
87,2350,76410809300,2001,넥센타이어,B
88,8600,75425952560,2001,윌비스,B
89,7690,72342169200,2001,국도화학,B
90,14820,72170236800,2001,동원시스템즈,B
91,1520,71588612070,2001,동양,B
92,11810,70013259595,2001,STX,B
93,1940,69720000000,2001,KISCO홀딩스,B
94,990,69701895900,2001,DB하이텍,B
95,16380,69367526540,2001,KG스틸,B
96,8970,68755759020,2001,동양철관,B
97,9970,67335492840,2001,영원무역홀딩스,B
98,1210,64064615600,2001,금호전기,B
99,320,62724833500,2001,노루홀딩스,B
100,17960,61655000000,2001,한국카본,S
101,9290,58973423625,2001,광동제약,S
102,17900,57887523525,2001,광전자,S
103,3160,56621042580,2001,디아이,S
104,31820,55105136320,2001,콤텍시스템,S
105,6040,55006400000,2001,동원산업,S
106,47050,54412398135,2001,포스코인터내셔널,S
