종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"005760","ACTS","310","0","0.00","310","335","300","4013996","1277297210","16066914670","51828757"
"003990","BHK","1575","105","7.14","1450","1620","1425","814697","1275250360","72690500925","46152699"
"004560","BNG스틸","12400","100","0.81","12150","12600","12100","73462","908937800","186977256400","15078811"
"004565","BNG스틸(1우B)","15300","100","0.66","16500","16500","15200","1700","26313000","1680735600","109852"
"001460","BYC","210000","2000","0.96","208000","212000","208000","73","15324000","131169150000","624615"
"001465","BYC(1우B)","86500","1000","1.17","86500","86500","86500","1","86500","18630802500","215385"
"000790","C&상선","890","25","2.89","855","920","855","7065598","6285582280","176422312130","198227317"
"013200","C&우방","5010","220","4.59","4650","5010","4645","569204","2802545640","106284930570","21214557"
"084680","C&우방랜드","3675","120","3.38","3560","3675","3540","18800","67846450","24163922475","6575217"
"008400","C&중공업","5100","325","6.81","4775","5150","4775","252473","1259482000","94268323500","18483985"
"008405","C&중공업(1우B)","604000","78000","14.83","601000","604000","600000","36","21696000","2242652000","3713"
"001040","CJ","82500","900","1.10","80700","82500","79400","111256","9050320100","1584370012500","19204485"
"001045","CJ(1우B)","30400","700","2.36","29600","30600","29600","6560","198358500","68710779200","2260223"
"001047","CJ(2우B)","73800","-100","-0.14","72000","73800","72000","549","40478400","75205225800","1019041"
"001049","CJ(3우B)","67200","200","0.30","67000","67200","66000","628","41967300","35829225600","533173"
"079160","CJCGV","12900","200","1.57","12550","12950","12550","70880","905398000","265936699200","20615248"
"097950","CJ제일제당","296000","1000","0.34","291500","298500","289000","35147","10336363500","3337899648000","11276688"
"097955","CJ제일제당(1우)","89400","800","0.90","87900","90000","87200","2788","248152600","118672510200","1327433"
"097957","CJ제일제당(2우B)","258000","0","0.00","258000","258000","249500","1611","415629500","154409130000","598485"
"097959","CJ제일제당(3우B)","237500","5500","2.37","228000","237500","228000","411","96580500","74369087500","313133"
"069730","DSR제강","2610","-100","-3.69","2695","2700","2610","168245","446325505","37584000000","14400000"
"017940","E1","130000","12500","10.64","119000","130000","117500","19891","2482848500","891800000000","6860000"
"007700","F&F","4185","-95","-2.22","4200","4270","4175","23500","98801150","64449000000","15400000"
"001370","FnC코오롱","24750","-250","-1.00","24400","25400","24400","3240","80296500","297089100000","12003600"
"001375","FnC코오롱(1우B)","8260","-30","-0.36","0","0","0","0","0","5985336420","724617"
"076170","GBS","600","-30","-4.76","630","640","600","462859","284192850","31918450800","53197418"
"078930","GS","58100","-600","-1.02","58400","58700","57500","171305","9953771300","5398383461800","92915378"
"078935","GS(1우B)","32700","200","0.62","32200","32750","32000","980","31845000","58363810200","1784826"
"006360","GS건설","156000","-7500","-4.59","161500","165500","155500","206162","33063176500","7956000000000","51000000"
"035000","GⅡR","11250","-200","-1.75","11350","11400","11000","58207","651694250","132445125000","11772900"
"011420","IB스포츠","6250","0","0.00","6400","6500","6210","7570","47526700","99515150000","15922424"
"003560","IHQ","3355","55","1.67","3380","3380","3285","78464","260991000","135324656390","40335218"
"005560","JS전선","17800","150","0.85","17500","17800","17250","37146","652175100","202539792000","11378640"
"002380","KCC","527000","-6000","-1.13","527000","534000","518000","29133","15379306000","5544040000000","10520000"
"009070","KCTC","30600","600","2.00","31000","31000","29750","1760","53605500","91800000000","3000000"
"017300","KDS","490","-20","-3.92","510","520","490","555214","278508410","18704260890","38171961"
"092220","KEC","1300","15","1.17","1265","1310","1265","190288","247087850","78534274000","60410980"
"006200","KEC홀딩스","2135","15","0.71","2100","2150","2040","8690","18149250","57809251955","27076933"
"001390","KG케미칼","8700","460","5.58","8200","8700","8200","73363","627149100","93090000000","10700000"
"092230","KPC홀딩스","57500","-100","-0.17","56100","58500","56100","1792","102619600","242917145000","4224646"
"044450","KSS해운","80600","2600","3.33","77800","81700","77800","7295","581452700","93439096400","1159294"
"030200","KT","48900","-950","-1.91","49500","49550","48600","994024","48779423950","13573143660000","277569400"
"033780","KT&G","79700","-1600","-1.97","82500","82500","79500","270805","21730857800","11432367010900","143442497"
"030210","KTB네트워크","11700","450","4.00","11150","11700","10950","677359","7675467150","705674876400","60314092"
"032390","KTF","30350","-650","-2.10","30850","31300","30350","178517","5479605200","5849115461850","192722091"
"003550","LG","69900","-2100","-2.92","71500","72600","69900","483093","34378055100","12061743456900","172557131"
"003555","LG(1우B)","33950","-50","-0.15","33050","34000","33050","670","22691500","112533284150","3314677"
"015940","LG데이콤","21300","50","0.24","20900","21300","20650","415725","8715012700","1774016316300","83287151"
"001120","LG상사","22200","-600","-2.63","22400","22600","22200","169353","3778498600","860472000000","38760000"
"068870","LG생명과학","64600","-900","-1.37","64900","65200","64000","101815","6563331800","1070873554000","16576990"
"068875","LG생명과학(1우B)","34000","-200","-0.58","33550","34100","33500","480","16122000","8031344000","236216"
"051900","LG생활건강","194000","-2000","-1.02","194000","204500","193500","103624","20854551640","3029930218000","15618197"
"051905","LG생활건강(1우B)","68000","1100","1.64","67300","68000","65300","3200","213472100","142779396000","2099697"
"066570","LG전자","100000","-3000","-2.91","102000","104500","100000","353477","36026080800","14464781400000","144647814"
"066575","LG전자(1우B)","50000","0","0.00","48900","50100","48800","15228","760334350","859299600000","17185992"
"093050","LG패션","30100","-750","-2.43","30750","30750","30000","131228","3968910300","880124000000","29240000"
"034220","LG필립스LCD","49500","1700","3.56","47700","49500","47050","1644973","79626011400","17711877150000","357815700"
"051910","LG화학","89600","-700","-0.78","89300","90800","89200","232427","20852603300","6741393792000","75238770"
"051915","LG화학(1우B)","40800","0","0.00","40500","41000","40150","11800","480481500","353379040800","8661251"
