,종목코드,시가총액,연도,종목명,기업구분
145,004430,349200000000,2015,송원산업,S
146,007690,344569528800,2015,국도화학,S
147,007160,338000000000,2015,사조산업,S
148,078520,327685222800,2015,에이블씨엔씨,S
149,004360,326316861000,2015,세방,S
150,005810,325159430500,2015,풍산홀딩스,S
151,000320,323365969500,2015,노루홀딩스,S
152,005500,323175000000,2015,삼진제약,S
153,042700,317910512500,2015,한미반도체,S
154,000140,315612004000,2015,하이트진로홀딩스,S
155,001130,310960000000,2015,대한제분,S
156,012320,310844160000,2015,경동인베스트,S
157,003120,304570000000,2015,일성신약,S
158,003220,303068185300,2015,대원제약,S
159,000430,300080000000,2015,대원강업,S
160,008730,292640000000,2015,율촌화학,S
161,002450,291008944030,2015,삼익악기,S
162,007860,285559550800,2015,서연,S
163,004700,278598882200,2015,조광피혁,S
164,033240,272975000000,2015,자화전자,S
165,079980,268065000000,2015,휴비스,S
166,004150,267089406200,2015,한솔홀딩스,S
167,017960,266889734370,2015,한국카본,S
168,004970,263200000000,2015,신라교역,S
169,000860,259675000000,2015,강남제비스코,S
170,007810,253923073250,2015,코리아써키트,S
171,013520,250497494800,2015,화승코퍼레이션,S
172,010820,245047761600,2015,퍼스텍,S
173,001360,243633921600,2015,삼성제약,S
174,005690,241240142445,2015,파미셀,S
175,084680,239398677565,2015,이월드,S
176,025560,233974489279,2015,미래산업,S
177,003070,233426842000,2015,코오롱글로벌,S
178,001940,229846167200,2015,KISCO홀딩스,S
179,000020,227362165800,2015,동화약품,S
180,011280,224454829800,2015,태림포장,S
181,002030,223484448000,2015,아세아,S
182,090350,223000000000,2015,노루페인트,S
183,010690,220696991200,2015,화신,S
184,015360,220500000000,2015,예스코홀딩스,S
185,004980,218345742080,2015,성신양회,S
186,000490,217587685700,2015,대동,S
187,011090,213570241960,2015,에넥스,S
188,003230,207911214000,2015,삼양식품,S
189,084010,205553761560,2015,대한제강,S
190,000700,202605297360,2015,유수홀딩스,S
191,003160,201579424000,2015,디아이,S
192,033530,201547021500,2015,세종공업,S
193,002880,200269282590,2015,대유에이텍,S
194,019170,197150480000,2015,신풍제약,S
195,091090,196553592000,2015,세원이앤씨,S
196,014280,190839385200,2015,금강공업,S
197,007660,190453656770,2015,이수페타시스,S
198,000890,188878670695,2015,보해양조,S
199,004960,186277750800,2015,한신공영,S
200,013570,184237431000,2015,디와이,S
201,004770,183103200000,2015,써니전자,S
202,012160,181471002630,2015,영흥,S
203,092200,181412000000,2015,디아이씨,S
204,007540,179982000000,2015,샘표,S
205,001790,178126040300,2015,대한제당,S
206,004910,177920000000,2015,조광페인트,S
207,005110,177806319240,2015,한창,S
208,003480,177474170120,2015,한진중공업홀딩스,S
209,018470,176784000000,2015,조일알미늄,S
210,069640,176460734250,2015,한세엠케이,S
211,016880,174460423500,2015,웅진,S
212,004540,173391831700,2015,깨끗한나라,S
213,011000,172142274100,2015,진원생명과학,S
214,016710,171352738350,2015,대성홀딩스,S
215,006390,169846107600,2015,한일현대시멘트,S
216,015890,168942175000,2015,태경산업,S
217,016090,168223781650,2015,대현,S
218,034300,168000000000,2015,신세계건설,S
219,006340,167543640660,2015,대원전선,S
220,075180,163008000000,2015,새론오토모티브,S
221,012200,163000000000,2015,계양전기,S
222,009160,162875580000,2015,SIMPAC,S
223,019440,161973000000,2015,세아특수강,S
224,002840,161121713000,2015,미원상사,S
225,007980,160613480150,2015,태평양물산,S
226,003280,160531949850,2015,흥아해운,S
227,002360,160032571200,2015,SH에너지화학,S
228,006370,159618762250,2015,대구백화점,S
229,041650,158244586500,2015,상신브레이크,S
230,005950,157363400000,2015,이수화학,S
231,077970,156460547200,2015,STX엔진,S
232,014990,154404446900,2015,인디에프,S
233,002310,154051834400,2015,아세아제지,S
234,003350,153181600000,2015,한국화장품제조,S
235,011930,152562116000,2015,신성이엔지,S
236,007120,151498828700,2015,미래아이앤지,S
237,012690,151404995700,2015,모나리자,S
238,002460,150654680000,2015,화성산업,S
239,012610,148254659550,2015,경인양행,S
240,004560,147018407250,2015,현대비앤지스틸,S
241,068290,146000000000,2015,삼성출판사,S
242,023000,145600000000,2015,삼원강재,S
243,002170,145350000000,2015,삼양통상,S
244,002150,144658800000,2015,도화엔지니어링,S
245,063160,144333896400,2015,종근당바이오,S
246,014130,144000000000,2015,한익스프레스,S
247,034590,143710668900,2015,인천도시가스,S
248,017550,138234616600,2015,수산중공업,S
249,004890,137994733500,2015,동일산업,S
250,004830,137200000000,2015,덕성,S
251,006980,136423500000,2015,우성,S
252,078000,136323019300,2015,텔코웨어,S
253,008350,136071176150,2015,남선알미늄,S
254,017900,135298686605,2015,광전자,S
255,003830,132800000000,2015,대한화섬,S
256,006090,132389482950,2015,사조오양,S
257,005800,131850000000,2015,신영와코루,S
258,009200,126700348950,2015,무림페이퍼,S
259,071970,126359652820,2015,STX중공업,S
260,024890,123747456000,2015,대원화성,S
261,025750,122157450405,2015,한솔홈데코,S
262,004870,121697145750,2015,티웨이홀딩스,S
263,014160,121585238325,2015,대영포장,S
264,008600,121410000000,2015,윌비스,S
265,024090,121095000000,2015,디씨엠,S
