,종목코드,시가총액,연도,종목명,기업구분
145,007810,283449012000,2014,코리아써키트,S
146,000140,283122533000,2014,하이트진로홀딩스,S
147,005740,279232798000,2014,크라운해태홀딩스,S
148,012510,275956110000,2014,더존비즈온,S
149,093370,270588410070,2014,후성,S
150,029460,268148873520,2014,케이씨,S
151,095720,263120854000,2014,웅진씽크빅,S
152,001130,262795000000,2014,대한제분,S
153,002170,259200000000,2014,삼양통상,S
154,002020,256903240500,2014,코오롱,S
155,033530,256696704000,2014,세종공업,S
156,004560,254831905900,2014,현대비앤지스틸,S
157,010690,254220584800,2014,화신,S
158,002390,249362784000,2014,한독,S
159,004980,247050678000,2014,성신양회,S
160,003280,241009708350,2014,흥아해운,S
161,003480,240372669680,2014,한진중공업홀딩스,S
162,013570,239389728480,2014,디와이,S
163,003220,238865314800,2014,대원제약,S
164,007690,238816317600,2014,국도화학,S
165,017960,237781944600,2014,한국카본,S
166,000490,233722868500,2014,대동,S
167,003520,231794100000,2014,영진약품,S
168,007980,228874962030,2014,태평양물산,S
169,033240,221065000000,2014,자화전자,S
170,001630,217728810000,2014,종근당홀딩스,S
171,003160,217327816500,2014,디아이,S
172,000700,217188712080,2014,유수홀딩스,S
173,015360,216600000000,2014,예스코홀딩스,S
174,002310,215851698200,2014,아세아제지,S
175,075180,211200000000,2014,새론오토모티브,S
176,001520,210797903680,2014,동양,S
177,019440,208251000000,2014,세아특수강,S
178,000990,204757544680,2014,DB하이텍,S
179,007160,199000000000,2014,사조산업,S
180,001440,196244022000,2014,대한전선,S
181,007660,196231232490,2014,이수페타시스,S
182,013520,195620466300,2014,화승코퍼레이션,S
183,004430,194880000000,2014,송원산업,S
184,085310,193434685010,2014,엔케이,S
185,008040,192607931295,2014,사조동아원,S
186,024090,190710000000,2014,디씨엠,S
187,002360,190038678300,2014,SH에너지화학,S
188,001790,187342564000,2014,대한제당,S
189,019170,187019547000,2014,신풍제약,S
190,001940,181807579200,2014,KISCO홀딩스,S
191,090350,181000000000,2014,노루페인트,S
192,001780,173303621100,2014,알루코,S
193,005690,172983803220,2014,파미셀,S
194,004870,172838358750,2014,티웨이홀딩스,S
195,077970,172686499830,2014,STX엔진,S
