,Date,mkt_rtn,rf
0,2001-02-28,-0.064426857129367,-0.0122591943957969
1,2001-03-31,-0.0949316851764064,0.0851063829787235
2,2001-04-30,0.1034746716102634,0.0310457516339868
3,2001-05-31,0.0602743326103185,-0.0729001584786054
4,2001-06-30,-0.0278194736814293,-0.0205128205128203
5,2001-07-31,-0.0900307775616089,-0.068062827225131
6,2001-08-31,0.0065737192112258,-0.0449438202247191
7,2001-09-30,-0.1200308092569298,-0.1627450980392156
8,2001-10-31,0.1211849686674402,0.063231850117096
9,2001-11-30,0.1972444126576253,0.143171806167401
10,2001-12-31,0.0773579282570329,0.028901734104046
11,2002-01-31,0.0783768115329959,-0.0524344569288389
12,2002-02-28,0.0961407117061245,-0.0395256916996046
13,2002-03-31,0.0921840848738446,0.1049382716049383
14,2002-04-30,-0.0594474968382797,-0.0055865921787709
15,2002-05-31,-0.0545385485394828,0.0074906367041198
16,2002-06-30,-0.0674033802930024,0.0018587360594795
17,2002-07-31,-0.033296506683856,-0.0389610389610389
18,2002-08-31,0.0256410735944632,-0.0289575289575289
19,2002-09-30,-0.1221890800119153,0.0039761431411529
20,2002-10-31,0.0193372734916477,0.0079207920792079
21,2002-11-30,0.0999817983844562,-0.0078585461689587
22,2002-12-31,-0.1341749470721271,-0.0138613861386137
23,2003-01-31,-0.056871967390079,-0.0662650602409639
24,2003-02-28,-0.0277599315419539,-0.0172043010752688
25,2003-03-31,-0.0690439861919665,0.0065645514223193
26,2003-04-30,0.1188164307047048,-0.0326086956521738
27,2003-05-31,0.0568449298607398,-0.0539325842696629
28,2003-06-30,0.0576394978855656,0.0593824228028503
29,2003-07-31,0.0650665402833583,-0.0672645739910313
30,2003-08-31,0.0643989655708077,-0.0072115384615385
31,2003-09-30,-0.0815699811205452,-0.0193704600484261
32,2003-10-31,0.1216308685696605,0.0469135802469136
33,2003-11-30,0.0176645119676059,0.0825471698113207
34,2003-12-31,0.0182496790054254,0.0130718954248367
35,2004-01-31,0.0466134339074673,-0.0301075268817205
36,2004-02-29,0.0411549592341264,-0.0243902439024389
37,2004-03-31,-0.0033053167990804,-0.0522727272727273
38,2004-04-30,-0.0200567554168441,-0.0239808153477217
39,2004-05-31,-0.0683788398354899,-0.0098280098280097
40,2004-06-30,-0.0224547773500838,0.0272952853598014
41,2004-07-31,-0.0642028437401621,-0.0362318840579708
42,2004-08-31,0.0927869801410397,-0.1228070175438597
43,2004-09-30,0.0392249825702273,-0.0028571428571427
44,2004-10-31,-0.0002993689206676,-0.0229226361031519
45,2004-11-30,0.0517703623602219,-0.0351906158357772
46,2004-12-31,0.0203402790256035,0.006079027355623
47,2005-01-31,0.0410528060523942,0.1359516616314198
48,2005-02-28,0.0843357693953488,0.0079787234042554
49,2005-03-31,-0.0451668973831332,-0.0026385224274406
50,2005-04-30,-0.0563126556367106,-0.0370370370370369
51,2005-05-31,0.0646439536582883,-0.0192307692307692
52,2005-06-30,0.03911519187847,0.0672268907563025
53,2005-07-31,0.1022953387013549,-0.005249343832021
54,2005-08-31,-0.0251600230587867,0.0343007915567281
55,2005-09-30,0.1270896765490967,0.1198979591836733
56,2005-10-31,-0.0515147491920531,0.0182232346241457
57,2005-11-30,0.1203080517541619,0.0335570469798658
58,2005-12-31,0.0631474730322672,0.0173160173160173
59,2006-01-31,0.0148328302122895,-0.0212765957446809
60,2006-02-28,-0.0201738719136767,-0.0086956521739131
61,2006-03-31,-0.0087416724627349,0.0
62,2006-04-30,0.0442262473981722,0.0087719298245614
63,2006-05-31,-0.0718657989198677,-0.0108695652173912
64,2006-06-30,-0.0171130967545062,0.0593406593406593
65,2006-07-31,0.0020614769136169,-0.0062240663900415
66,2006-08-31,0.042317152007371,-0.0083507306889353
67,2006-09-30,0.0138016500436848,-0.0294736842105262
68,2006-10-31,-0.0050021402648302,0.0130151843817787
69,2006-11-30,0.0495840457940559,0.032119914346895
70,2006-12-31,0.0015709987092444,0.0269709543568463
71,2007-01-31,-0.0517476837905162,0.014141414141414
72,2007-02-28,0.041985536395751,-0.0159362549800795
73,2007-03-31,0.0248423694081285,-0.01417004048583
74,2007-04-30,0.061746541180188,0.0431211498973305
75,2007-05-31,0.1028828489405202,0.0019685039370078
76,2007-06-30,0.0250982947648013,0.019646365422397
77,2007-07-31,0.1087807103699767,0.0115606936416183
78,2007-08-31,-0.0310510320288472,0.0266666666666666
79,2007-09-30,0.0390980283445749,0.0037105751391466
80,2007-10-31,0.0608123989844449,-0.0166358595194084
81,2007-11-30,-0.0769305712974303,0.0300751879699248
82,2007-12-31,-0.0046537225168874,0.0346715328467153
83,2008-01-31,-0.1436116399354005,-0.1075837742504409
84,2008-02-29,0.0535120383903711,-0.025691699604743
85,2008-03-31,-0.0044577680236144,0.0365111561866127
86,2008-04-30,0.0712914871360488,-0.0313111545988258
87,2008-05-31,0.0145442265576676,0.0242424242424241
88,2008-06-30,-0.095625303030343,0.0552268244575935
89,2008-07-31,-0.0479127348735819,0.0093457943925234
90,2008-08-31,-0.0755203586899934,0.0074074074074073
91,2008-09-30,-0.0177582563314286,0.0202205882352939
92,2008-10-31,-0.2313439957216467,-0.117117117117117
93,2008-11-30,-0.0332328089747655,-0.0040816326530612
94,2008-12-31,0.0449785114629164,-0.3319672131147541
95,2009-01-31,0.0334735614370398,-0.2239263803680982
96,2009-02-28,-0.0852586737086797,0.0039525691699606
97,2009-03-31,0.1347374735627058,0.062992125984252
98,2009-04-30,0.1352112929762361,-0.0629629629629631
99,2009-05-31,0.0193740357398159,-0.0276679841897232
