,Date,BH_avgRtn,BL_avgRtn,SH_avgRtn,SL_avgRtn,연도,SMB,HML
0,2007-01-31,-0.009332816438030727,-0.013218451316680837,-0.03446770200699927,-0.011113119121795705,2007,-0.03430518725143919,-0.031634733225791724
1,2007-02-28,-0.07270179832763055,-0.046897310693263194,-0.03540962167469065,-0.043808257424472474,2007,-0.019418324588716257,-0.06275863594345336
2,2007-03-31,0.011694682562963224,0.038785326868405946,0.047343989677282636,0.0727296124429396,2007,0.09483359740453765,0.0032812025845730883
3,2007-04-30,0.07234488980208928,0.06304476891527756,0.08324107359845809,0.08378730421380058,2007,0.09933354845357523,0.0821699268360083
4,2007-05-31,0.16297366171157798,0.12100359213160916,0.1016559840284926,0.06218782820997599,2007,0.021855185316874998,0.173033935569278
5,2007-06-30,0.14334682305324883,0.18251219197808108,0.15121230890182122,0.23841765843068397,2007,0.22670045981684026,0.08409420675068752
6,2007-07-31,0.09227090119682302,0.05523757643728688,0.02433110888912931,0.06955224902132788,2007,0.02012911909340223,0.05420709735664496
7,2007-08-31,0.10714596819157995,0.10549631485670818,0.07358739718272697,0.08023301958095795,2007,0.04749927523954084,0.08786869815547385
8,2007-09-30,-0.03665129865508165,0.03811944407555366,-0.002133964236675741,0.013889570052172982,2007,0.011021533105261234,-0.06478976995562072
9,2007-10-31,0.02848021705849599,0.035608223337308044,0.00258165390127042,0.01516804306034265,2007,-0.01429452323628895,0.005673737760941065
10,2007-11-30,0.002519776372920581,0.0846477962502942,-0.09615545112436893,-0.06404296384170619,2007,-0.2037822012776825,-0.10393809095574236
11,2007-12-31,-0.13549526763376998,-0.0728538019721822,-0.07284766085405654,-0.044208786949038834,2007,-0.012881913000119288,-0.14981163402721603
12,2008-01-31,-0.04715380137932069,-0.026428598172221453,-0.003912958953695809,-0.032758591619840634,2008,0.00011964920223462433,-0.021473165436985457
13,2008-02-29,-0.11616396290641527,-0.04840668174067963,-0.08662508568513819,-0.0903704847291264,2008,-0.09471024809071714,-0.13340046535665043
14,2008-03-31,0.059909996558925496,0.03913247370444553,0.07011401191692186,0.07352745966240987,2008,0.0941202364476462,0.07369404179241966
15,2008-04-30,-0.028207508544172987,0.016997201119152216,-0.029095713857312,-0.030033899243668016,2008,-0.05352445938846963,-0.050784873339227085
16,2008-05-31,0.06880353512482357,0.13127715655585262,0.04538217412353355,0.06680275830051687,2008,0.012144586583712327,0.01514575182017236
17,2008-06-30,0.03745351045302353,0.03099243272339976,0.027141935056959565,0.04681112025794363,2008,0.03973008372669155,0.025693669019311402
18,2008-07-31,-0.0845943352113107,-0.03756872517189487,-0.05257966863992328,-0.034546850909166114,2008,-0.026044989357486614,-0.10111621581070347
19,2008-08-31,-0.057349839707890544,-0.046346356428818875,-0.06342788331263795,-0.04890972843219255,2008,-0.0604895136764758,-0.07314968059002279
20,2008-09-30,-0.10489524454099203,-0.09090362170481156,-0.12624035924951538,-0.15177037144318387,2008,-0.18011129756979743,-0.10979860721650969
21,2008-10-31,0.0540806092296269,-0.030628516901965004,0.007090058267113114,0.03700504362155961,2008,0.03236905572484178,0.05798240413694271
22,2008-11-30,-0.28296902874052404,-0.19999783587068282,-0.26558196580313975,-0.2559667486249024,2008,-0.28006528212243875,-0.32056870229587114
23,2008-12-31,-0.04629220230960078,0.029753355125695047,-0.0406310279800371,0.011531709377619851,2008,-0.02082989501046438,-0.10756576254129534
24,2009-01-31,0.15128301029027194,0.11372112276607009,0.09470778326586947,0.11205481508693158,2009,0.07426053182463002,0.13310282462964057
25,2009-02-28,0.01789376713801839,0.02442361140836043,0.02354798143977603,0.0788068017752885,2009,0.08119609394187512,-0.010173458014030037
26,2009-03-31,-0.13712317592309745,-0.06181013248655525,-0.04551343096270446,-0.007219414905326939,2009,0.046733808336794955,-0.14812183318986083
27,2009-04-30,0.26619059387230826,0.22983827844487095,0.18978945279564904,0.21684995024116976,2009,0.1586249668782292,0.23263593232493696
28,2009-05-31,0.2121749451178803,0.15558647254518618,0.21864165907748195,0.22826771852543906,2009,0.2630286687713878,0.23888950866004965
29,2009-06-30,-0.010563924432407319,0.04456104833420268,0.030902854643991277,0.0776775219710789,2009,0.09158181466417249,-0.04078035494105683
30,2009-07-31,-0.02221057446241304,-0.010031103674344644,-0.03604592608411449,-0.0260625855273808,2009,-0.04598767254311645,-0.04020965594566481
31,2009-08-31,0.0839825097805363,0.05969264057002927,0.052110143547914635,0.10222526520675101,2009,0.08249783357938285,0.0551337004400608
32,2009-09-30,-0.006579756581422436,0.08237221719869234,0.030920228054285268,0.02487312942347504,2009,0.01789712716912535,-0.029282201838220858
33,2009-10-31,-0.011579418244370294,0.02096256222211333,-0.023413310512513868,-0.02116634422059064,2009,-0.04927122672197602,-0.0348908377576455
34,2009-11-30,-0.05836290909201604,-0.02341192578014922,-0.036918298060137474,-0.02871383014510054,2009,-0.024744710769155374,-0.06921832918952864
35,2009-12-31,-0.010609840947823754,0.006100202940783182,-0.0036572549328630316,0.0010755787890848788,2009,-0.0003268571402578668,-0.01785498674562082
36,2010-01-31,0.0915422608151039,0.08637056665714804,0.06140080783845941,0.08923762122372494,2010,0.06168201532605838,0.06513897471312681
37,2010-02-28,-0.0549811153160941,-0.0672012156438791,-0.0406897442400516,-0.027847950674586792,2010,-0.007446529434651794,-0.048146276396912754
38,2010-03-31,0.004774968965568623,0.03877735134564946,0.023219726807111627,0.062046197687956925,2010,0.0634897643394595,-0.02241707874412294
