종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"005760","ACTS","420","-30","-6.67","425","440","405","951715","401609450","20233223640","48174342"
"015670","AP우주통신","565","-20","-3.42","560","580","535","811690","448820450","17753616450","31422330"
"015675","AP우주통신(1우B)","310","-10","-3.13","310","330","305","89740","28216700","1668044900","5380790"
"004560","BNG스틸","2745","-5","-0.18","2815","2815","2620","2011","5428545","21359358315","7781187"
"004565","BNG스틸(1우)","4340","60","1.40","4340","4340","4340","10","43400","476757680","109852"
"001460","BYC","56800","0","0.00","0","0","0","0","0","35478132000","624615"
"001465","BYC(1우)","26200","0","0.00","0","0","0","0","0","5643087000","215385"
"001040","CJ","45800","-700","-1.51","45700","46000","42400","77812","3459980100","1026096604800","22403856"
"001045","CJ(1우)","21600","1600","8.00","19500","21600","19000","38190","765848500","77493369600","3587656"
"001047","CJ(2우B)","26500","-1000","-3.64","27050","27050","26000","840","22024000","25198187500","950875"
"001049","CJ(3우B)","26050","-850","-3.16","26250","26250","26050","50","1310500","22046271300","846306"
"004530","CKF","4355","20","0.46","4205","4450","4205","130","553050","10436814115","2396513"
"014820","EASTEL","1880","-95","-4.81","1930","1970","1860","229834","436491270","57280892800","30468560"
"014825","EASTEL(1우)","975","-70","-6.70","970","1000","950","5500","5312650","2587240500","2653580"
"014827","EASTEL(2우B)","4300","0","0.00","4300","4370","4180","130","547700","549798000","127860"
"007700","F&F","3640","80","2.25","3600","3640","3200","188850","641084800","56056000000","15400000"
"001370","FnC코오롱","12000","-350","-2.83","12000","12000","11450","14730","173769000","137791296000","11482608"
"001375","FnC코오롱(1우)","6390","-210","-3.18","6320","6490","5800","9290","57053100","4630302630","724617"
"004020","INI스틸","5800","110","1.93","5490","5800","5350","283570","1571623600","675107930200","116397919"
"004025","INI스틸(1우B)","3730","-120","-3.12","3730","3730","3730","280","1044400","1553753880","416556"
"009070","KCTC","34550","-1800","-4.95","35000","35000","34550","50","1745500","13820000000","400000"
"017300","KDS","235","30","14.63","200","235","200","4983510","1112885200","12129668585","51615611"
"006200","KEC","40000","-2000","-4.76","42000","42050","39100","12390","501933500","322191880000","8054797"
"018590","KNC","530","-15","-2.75","525","535","510","103730","54168250","4924239010","9291017"
"030200","KT","50700","-1300","-2.50","51600","52200","49700","16027084","815995078100","15670237311300","309077659"
