종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"010130","고려아연","11350","-200","-1.73","11900","11900","11350","33290","386301000","214174500000","18870000"
"009070","고려운수","30000","0","0.00","26000","31600","26000","770","22491500","12000000000","400000"
"002240","고려제강","94000","1500","1.62","94000","94000","94000","30","2820000","103635000000","1102500"
"002540","고제","3440","-35","-1.01","3480","3590","3300","98440","342382700","9466893760","2752004"
"004460","고합","840","-10","-1.18","725","890","725","105370","87577450","35357358960","42092094"
"004465","고합(1우)","1000","-45","-4.31","1080","1100","1000","18440","19186850","814427000","814427"
"007800","골드금고","1480","30","2.07","1400","1530","1400","62010","91236200","13616000000","9200000"
"023800","공화","2480","180","7.83","2105","2480","2105","65520","152843650","25668000000","10350000"
"003590","광덕물산","4050","250","6.58","4000","4100","3900","9840","39542500","14698624500","3629290"
"009290","광동제약","770","5","0.65","755","780","745","770500","590804450","40349361360","52401768"
"017040","광명전기","1495","-5","-0.33","1495","1500","1400","13250","19065800","1455718875","973725"
"017900","광전자","3950","100","2.60","3800","3950","3800","38250","150406850","57523451050","14562899"
"005770","광주은행","500","0","0.00","0","0","0","0","0","43793294000","87586588"
"007690","국도화학","11300","0","0.00","11500","11800","11300","166820","1921363000","65659960800","5810616"
"005320","국동","7850","-150","-1.88","8190","8190","7840","11360","90041000","15499040000","1974400"
"023130","국민은행","14900","100","0.68","15200","15300","14850","2067390","31071586500","4464239853700","299613413"
"023135","국민은행(1우B)","0","0","0.00","0","0","0","0","0","119200000000","8000000"
"001140","국보","6400","260","4.23","6430","6430","6150","1350","8457700","6574745600","1027304"
"000680","국제상사","930","30","3.33","900","960","900","30050","27770950","18065435070","19425199"
"000685","국제상사(1우)","74400","0","0.00","0","0","0","0","0","2755552800","37037"
"002720","국제약품","7000","380","5.74","6510","7000","5650","159940","995195100","16992465000","2427495"
"000470","국제화재","2110","-270","-11.34","2300","2390","2100","49000","106456000","4571063910","2166381"
"000475","국제화재(1우)","2190","0","0.00","2000","2280","1875","16820","34530100","818722740","373846"
"008670","굿모닝증권","3130","-20","-0.63","3265","3340","3105","5054950","16374747100","544324675110","173905647"
"008675","굿모닝증권(1우)","2020","-80","-3.81","2100","2150","2010","120560","250732950","14180400000","7020000"
"015360","극동가스","8360","510","6.50","7920","8360","7900","61250","502308900","50160000000","6000000"
"000980","극동건설","3700","-270","-6.80","3650","3900","3650","6170","23018700","3762467100","1016883"
"000985","극동건설(1우)","6800","400","6.25","6400","7000","6400","860","5724000","559721600","82312"
"014530","극동유화","9410","60","0.64","9350","10000","9250","28320","272113700","11292000000","1200000"
"006250","극동전선","20000","700","3.63","19500","20500","19400","16160","323512000","49920000000","2496000"
"010200","극동제혁","3600","-200","-5.26","3800","4000","3600","99910","378313000","4051944000","1125540"
"002250","근화제약","20000","-1800","-8.26","20150","22850","20000","31860","653905000","38410400000","1920520"
"002380","금강고려","43500","-250","-0.57","45500","45500","42750","14780","643828500","489395053500","11250461"
"014280","금강공업","875","40","4.79","850","880","820","35170","29650300","3683859375","4210125"
"014285","금강공업(1우)","830","85","11.41","850","855","750","44530","36235200","489596250","589875"
"010730","금강화섬","465","-25","-5.10","505","520","460","501160","246884600","4164207060","8955284"
"008870","금비","8380","-720","-7.91","9100","9290","8100","47850","399133100","8380000000","1000000"
"001570","금양","2070","270","15.00","1800","2070","1800","1970220","3893424950","43209846540","20874322"
"002990","금호산업","1700","70","4.29","1650","1715","1650","165150","279189200","69059035400","40622962"
"002995","금호산업(1우)","1335","100","8.10","1250","1335","1250","139100","180226850","16964517840","12707504"
"011780","금호석유","2665","75","2.90","2785","2785","2610","97320","260380050","54363700105","20399137"
"011785","금호석유(1우)","2230","100","4.69","2200","2250","2115","44320","97157150","9898383510","4438737"
"001210","금호전기","4850","-90","-1.82","4750","5000","4750","52670","255411150","25468310300","5251198"
"010050","금호종금","555","5","0.91","550","560","530","2308170","1268112550","12487500000","22500000"
"014740","금호케미칼","2745","90","3.39","2600","2770","2600","17580","47500000","21372712740","7786052"
"014745","금호케미칼(1우)","4770","-300","-5.92","4660","5490","4660","17140","83303150","768594870","161131"
"019930","기라정보통신","2000","195","10.80","1825","2035","1820","553710","1078514000","48400000000","24200000"
"006070","기린","1920","-180","-8.57","1900","2100","1900","4810","9395000","2304000000","1200000"
"000270","기아차","7100","550","8.40","7000","7100","6620","730470","5105667600","3192141930500","449597455"
"001430","기아특수강","570","10","1.79","560","590","560","93980","53348450","19295324790","33851447"
"014990","나산","1800","100","5.88","1720","1820","1720","6550","11792500","4523371200","2512984"
"014590","나자인","13650","450","3.41","13250","13650","12800","11140","146447500","22522500000","1650000"
"001260","남광토건","870","0","0.00","880","965","795","754950","673489150","14531841420","16703266"
"001265","남광토건(1우B)","15200","0","0.00","0","0","0","0","0","84629876000","5567755"
"008350","남선알미늄","1530","-265","-14.76","1530","1700","1530","123160","193644400","3249138600","2123620"
"008355","남선알미늄(1우)","18000","-3050","-14.49","20800","21300","18000","4410","84635500","1809198000","100511"
"004270","남성","5020","560","12.56","4220","5020","4220","41350","195827850","18178504320","3621216"
"003020","남양","7700","700","10.00","6850","7900","6100","14320","97217800","4115796300","534519"
"003920","남양유업","250000","-3000","-1.19","253000","253000","250000","2900","730790000","180000000000","720000"
"003925","남양유업(1우)","165000","0","0.00","165000","165000","165000","10","1650000","27499230000","166662"
"001950","남한제지","3000","-180","-5.66","3180","3290","2960","24220","73709300","7650000000","2550000"
"001955","남한제지(1우)","5840","760","14.96","5820","5840","5410","24220","140947600","3212000000","550000"
"025860","남해화학","1850","90","5.11","1850","1850","1790","362340","663098900","131294083750","70969775"
"004250","내쇼날푸라스","4500","-475","-9.55","5100","5350","4450","313830","1571448350","16524000000","3672000"
"004255","내쇼날푸라스(1우)","4955","645","14.97","4700","4955","4210","49680","242480550","2616240000","528000"
"002350","넥센타이어","4500","320","7.66","4700","4805","4180","10740","46390600","44514117000","9892026"
"002355","넥센타이어(1우B)","3050","100","3.39","2630","3050","2630","13040","39180850","1982500000","650000"
"005250","녹십자","32000","0","0.00","32000","32200","31550","29240","935490500","149569088000","4674034"
"005255","녹십자(1우)","16300","-150","-0.91","16000","16500","15950","1760","28363000","2644903200","162264"
"005257","녹십자(2우B)","18100","-500","-2.69","18100","18250","18100","940","17047000","1466643000","81030"
"004370","농심","45000","0","0.00","45700","45700","44600","29140","1313022000","342000000000","7600000"
"014080","뉴맥스","255","-30","-10.53","275","290","255","93540","25704650","1226335800","4809160"
"017170","닉소텔레콤","2370","-10","-0.42","2260","2590","2230","32660","75346100","11786540880","4973224"
"023590","다우기술","2685","175","6.97","2550","2740","2500","1066530","2806549000","107400000000","40000000"
"009280","다함이텍","13200","250","1.93","13400","13400","12900","43380","565173000","42667719600","3232403"
"033780","담배인삼공사","19000","1000","5.56","18300","19000","18100","270500","5038032500","3628846043000","190991897"
"015590","대경기계","12000","-300","-2.44","12400","13900","11500","1014970","13068137000","29446452000","2453871"
"016710","대구가스","12750","250","2.00","12550","12750","12350","7170","90362500","36465000000","2860000"
"006370","대구백화점","3370","-75","-2.18","3300","3430","3200","95390","318680250","32957282330","9779609"
"006375","대구백화점(1우)","160000","-20000","-11.11","160000","180000","157000","800","131320000","685120000","4282"
"005270","대구은행","1400","70","5.26","1330","1400","1330","1627880","2237911100","168588000000","120420000"
"001110","대농","1000","30","3.09","980","1090","980","74520","78548700","2059303000","2059303"
"004130","대덕GDS","6400","120","1.91","6200","6400","6130","84780","528901600","121168518400","18932581"
"004135","대덕GDS(1우)","3250","-65","-1.96","3250","3370","3170","17280","56028900","7020000000","2160000"
"004137","대덕GDS(2우B)","3900","80","2.09","3920","4000","3720","8300","32277700","1606800000","412000"
"008060","대덕전자","9950","350","3.65","9700","9950","9250","327540","3142254700","458683706750","46098865"
"012510","대동","5900","-250","-4.07","5900","6380","5900","7830","47049700","6318900000","1071000"
"000490","대동공업","5390","30","0.56","5310","5490","5310","39730","213790800","25579010380","4745642"
"008110","대동전자","2260","-130","-5.44","2300","2390","2210","130960","298689050","22600000000","10000000"
"016160","대륭정밀","5500","-220","-3.85","5950","6040","5460","257780","1474493400","20434793500","3715417"
"000210","대림산업","4750","350","7.95","4500","4750","4450","224590","1035552500","252854612500","53232550"
"000215","대림산업(1우)","2975","155","5.50","2830","2990","2830","139540","407559350","14284301850","4801446"
"003960","대림수산","4770","-120","-2.45","4700","4920","4610","15980","75670100","7806534300","1636590"
"003965","대림수산(1우)","30800","-100","-0.32","30800","31000","30800","500","15416000","523908000","17010"
"005750","대림요업","3310","-270","-7.54","3610","3900","3310","82480","299876350","6620000000","2000000"
"006570","대림통상","6100","150","2.52","5900","6100","5900","21200","128401000","19520000000","3200000"
"008320","대붕전선","12650","1650","15.00","12650","12650","12650","5280","66792000","3788928000","299520"
"001680","대상","1130","30","2.73","1100","1130","1080","357720","398567950","90780371560","80336612"
"001685","대상(1우)","880","20","2.33","850","890","850","71350","62117000","4019320800","4567410"
"001687","대상(2우B)","895","45","5.29","860","900","835","42690","37637250","2966266280","3314264"
