종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"005760","ACTS","345","0","0.00","345","355","340","914930","315461050","16620147990","48174342"
"015670","AP우주통신","865","-150","-14.78","865","865","865","3787523","3276207395","19112021030","22094822"
"015675","AP우주통신(1우B)","855","5","0.59","830","860","775","3990","3272700","306704745","358719"
"004560","BNG스틸","9000","510","6.01","8560","9100","8560","97570","861690100","112642299000","12515811"
"004565","BNG스틸(1우)","4180","-55","-1.30","4170","4330","4035","4850","19985600","459181360","109852"
"001460","BYC","39900","500","1.27","39900","39900","39900","10","399000","24922138500","624615"
"001465","BYC(1우)","20950","50","0.24","20950","21000","20950","770","16134500","4512315750","215385"
"001040","CJ","62100","100","0.16","61200","62300","61200","102284","6339915400","1391279457600","22403856"
"001045","CJ(1우)","24300","-300","-1.22","24650","24800","24300","17880","437447000","87180040800","3587656"
"001047","CJ(2우B)","43750","-150","-0.34","43000","43850","43000","1020","44028500","41600781250","950875"
"001049","CJ(3우B)","41800","0","0.00","41500","42500","40850","801","33331800","35375590800","846306"
"004530","CKF","3070","-120","-3.76","3130","3160","2930","610","1842250","7357294910","2396513"
"069730","DSR제강","555","0","0.00","555","560","540","40100","22016550","7992000000","14400000"
"014820","EASTEL","1680","35","2.13","1655","1710","1655","183550","309602450","51187180800","30468560"
"014825","EASTEL(1우)","960","0","0.00","955","960","925","570","530000","2547436800","2653580"
"014827","EASTEL(2우B)","2145","65","3.13","2020","2145","2020","80","164050","274259700","127860"
"007700","F&F","2845","200","7.56","2660","2845","2645","142440","392750300","43813000000","15400000"
"001370","FnC코오롱","10150","100","1.00","10300","10300","9810","19890","200515200","116548471200","11482608"
"001375","FnC코오롱(1우)","5790","10","0.17","5800","5800","5030","380","2119600","4195532430","724617"
"003560","IHQ","3670","220","6.38","3450","3670","3450","30870","110084400","22341770920","6087676"
"004020","INI스틸","10500","0","0.00","10700","10750","10400","1456107","15383960000","1222178149500","116397919"
"004025","INI스틸(1우B)","5750","50","0.88","5700","5750","5610","2480","14058200","2395197000","416556"
"009070","KCTC","35600","100","0.28","35550","35600","35550","420","14943500","14240000000","400000"
"017300","KDS","485","40","8.99","450","505","440","28776071","13562704385","86463419620","178275092"
"006200","KEC","40600","550","1.37","40700","40950","40000","29526","1193691100","327024758200","8054797"
"001390","KG케미칼","465","15","3.33","445","465","445","934845","423537525","51901667850","111616490"
"018590","KNC","215","0","0.00","0","0","0","0","0","5209367655","24229617"
"030200","KT","44600","650","1.48","44500","44600","44200","772436","34357316450","12704283240000","284849400"
"033780","KT&G","20700","-500","-2.36","21200","21200","20700","344121","7207809200","3693759687900","178442497"
"030210","KTB네트워크","3140","120","3.97","3090","3150","3090","256700","802167500","189386248880","60314092"
"003550","LG","8290","200","2.47","8210","8430","8160","602945","4996794150","2200767099610","265472509"
"003555","LG(1우)","5390","90","1.70","5260","5520","5260","2880","15294000","27486321170","5099503"
"017940","LG가스","20600","800","4.04","19800","20600","19700","4980","100462000","141316000000","6860000"
"006360","LG건설","17850","-350","-1.92","18050","18200","17850","297584","5344988900","910350000000","51000000"
"010120","LG산전","12250","100","0.82","12400","12400","11950","187966","2290370500","367500000000","30000000"
"001120","LG상사","8000","-50","-0.62","8090","8120","7940","834180","6672517800","544000000000","68000000"
"068870","LG생명과학","33100","650","2.00","32850","33500","32650","106860","3541965000","462638369000","13976990"
"068875","LG생명과학(1우)","23950","450","1.91","23400","24850","23400","980","23650500","5657373200","236216"
"051900","LG생활건강","31100","650","2.13","30500","31250","30400","56020","1726098500","485725926700","15618197"
"051905","LG생활건강(1우)","17200","0","0.00","17200","17250","16700","2930","50347500","36114788400","2099697"
"012990","LG석유화학","27800","1200","4.51","26850","27800","26850","481370","13170236000","1256560000000","45200000"
"035000","LG애드","20900","50","0.24","21000","21000","20800","44560","932667000","246053610000","11772900"
"006260","LG전선","14800","50","0.34","14800","15000","14750","62345","926998500","476560000000","32200000"
"066570","LG전자","58600","2100","3.72","57400","58700","57300","1000369","58235373400","8180927011800","139606263"
"066575","LG전자(1우)","25950","700","2.77","25750","26050","25650","123580","3203166000","445976492400","17185992"
"032710","LG카드","3045","-295","-8.83","3350","3505","3045","33932783","110206954790","478667374080","157197824"
"005940","LG투자증권","8300","50","0.61","8310","8370","8050","1872384","15420067300","1013565862700","122116369"
"005945","LG투자증권(1우)","3945","105","2.73","3990","3990","3830","139649","544307005","78390968760","19870968"
"002550","LG화재","5530","-30","-0.54","5600","5610","5460","244329","1352396570","331800000000","60000000"
"051910","LG화학","55000","1500","2.80","54000","55200","53500","519048","28256753000","3543378520000","64425064"
"051915","LG화학(1우)","24500","550","2.30","24150","24750","24000","96904","2357874000","212200649500","8661251"
"008260","NI테크","4850","-50","-1.02","4900","4950","4850","1510","7396750","13787022250","2842685"
"005490","POSCO","163000","8000","5.16","157000","164500","157000","289892","47004866000","14501483265000","88966155"
"010950","S-Oil","28000","-150","-0.53","28000","28300","27650","251301","7028786500","3152318176000","112582792"
"010955","S-Oil(1우)","18100","300","1.69","18050","18200","17800","9340","168263000","24006754000","1326340"
"034120","SBS","36900","300","0.82","36300","37100","36300","58624","2155866100","962171817300","26075117"
"009160","SIMPAC","4090","40","0.99","4180","4180","3825","5970","23596000","10634000000","2600000"
"025530","SJM","3995","335","9.15","3670","4050","3670","307140","1204226850","67915000000","17000000"
"003600","SK","27400","1300","4.98","26900","27550","26600","1838554","49817845600","3479055322800","126972822"
"003605","SK(1우)","11400","250","2.24","11200","11500","11200","4210","47954500","22895144400","2008346"
"011790","SKC","14200","700","5.19","13750","14200","13650","610710","8551680500","458518000000","32290000"
"018670","SK가스","17400","200","1.16","16800","17400","16800","3880","66374000","150138771000","8628665"
"001740","SK네트웍스","15500","900","6.16","14600","15800","14600","40090","618835500","5232342703500","337570497"
"001745","SK네트웍스(1우)","4870","-10","-0.20","4950","4950","4750","1160","5596900","968579690","198887"
"001510","SK증권","520","25","5.05","505","520","505","1757433","904513510","166460928920","320117171"
"001515","SK증권(1우)","730","95","14.96","730","730","670","69770","48876500","2856135220","3912514"
"006120","SK케미칼","6350","150","2.42","6350","6450","6250","229432","1462619000","112747659950","17755537"
"006125","SK케미칼(1우)","3070","0","0.00","3050","3095","3000","19320","59230650","8249154470","2687021"
"017670","SK텔레콤","199000","3500","1.79","198000","199500","196500","155353","30816747000","16373065489000","82276711"
"007050","SNG21","5000","200","4.17","4620","5000","4620","1320","6528700","2939185000","587837"
"011810","STX","9150","0","0.00","9200","9300","9070","320773","2937884750","194337426450","21239063"
"011815","STX(1우)","13400","500","3.88","12700","13400","12700","680","8947000","402000000","30000"
"067250","STX조선","15850","-100","-0.63","16150","16250","15450","610140","9603133500","364235092200","22980132"
"024070","WISCOM","2680","-20","-0.74","2700","2740","2660","32175","86498600","40269465600","15025920"
"035250","강원랜드","14200","350","2.53","13900","14250","13700","372292","5218286900","2840000000000","200000000"
"010460","개발리스","1225","30","2.51","1205","1240","1190","82210","99898550","50553156675","41267883"
"000860","건설화학","26150","0","0.00","25300","26150","25300","110","2840000","33995000000","1300000"
"000800","경남기업","935","15","1.63","930","955","930","62470","58765450","24631296855","26343633"
"000805","경남기업(1우B)","5020","0","0.00","0","0","0","0","0","15260800000","3040000"
"001670","경남모직","1030","40","4.04","1000","1050","1000","16280","16625650","3684917700","3577590"
"001675","경남모직(1우)","3000","0","0.00","0","0","0","0","0","230178000","76726"
"008020","경남에너지","1350","-20","-1.46","1375","1375","1350","160560","218068450","40226301000","29797260"
"002100","경농","8730","-70","-0.80","8460","8790","8460","1880","16344300","18933964470","2168839"
"002105","경농(1우)","207000","-500","-0.24","0","0","0","0","0","69552000","336"
"012320","경동가스","15150","150","1.00","15150","15150","15150","10","151500","47995200000","3168000"
"009450","경동보일러","15100","200","1.34","14850","15200","14850","18720","280579500","34790400000","2304000"
"000050","경방","37100","-3000","-7.48","40000","40000","37100","26","993600","77168000000","2080000"
"012610","경인양행","13000","100","0.78","13000","13000","12600","23400","302650500","32500000000","2500000"
"009140","경인전자","8020","-40","-0.50","8060","8060","7700","910","7167000","12597791940","1570797"
"013580","계룡건설","11200","350","3.23","11300","11650","10900","220420","2489369500","100026158400","8930907"
"012200","계양전기","1840","55","3.08","1800","1845","1790","165380","300779800","59984000000","32600000"
"012205","계양전기(1우)","1365","15","1.11","1355","1375","1355","3790","5159950","1911000000","1400000"
"027840","고덴시","1870","65","3.60","1850","1890","1820","28564","53141630","43133298450","23065935"
"004200","고려개발","5420","220","4.23","5130","5440","5130","10660","55751700","65040000000","12000000"
"002140","고려산업","1545","10","0.65","1600","1600","1530","1110","1760550","7706282325","4987885"
"011160","고려산업개발","2675","60","2.29","2695","2750","2555","69100","182994500","148821776575","55634309"
"003660","고려시멘트","17800","400","2.30","17250","18500","17250","11940","213306500","70448946800","3957806"
"010130","고려아연","31400","1600","5.37","30050","31400","29800","182960","5565186000","592518000000","18870000"
"002240","고려제강","14850","450","3.13","14350","14850","14350","5590","82070500","111375000000","7500000"
"002540","고제","580","75","14.85","510","580","510","17456997","9595540960","31317928820","53996429"
"003590","광덕물산","420","0","0.00","0","0","0","0","0","1860301800","4429290"
"003595","광덕물산(1우B)","170","0","0.00","0","0","0","0","0","238000000","1400000"
"009290","광동제약","1140","25","2.24","1125","1145","1120","779620","880658900","59759770140","52420851"
"017040","광명전기","680","10","1.49","670","710","670","838730","573344000","21912133000","32223725"
"017900","광전자","3540","190","5.67","3415","3580","3410","191800","671485700","51552662460","14562899"
"037710","광주신세계","41900","2450","6.21","40000","41900","38800","2490","99596500","67040000000","1600000"
"064900","교보메리츠","5000","0","0.00","5000","5010","4990","5380","26886250","84000000000","16800000"
"030610","교보증권","2770","90","3.36","2700","2780","2700","45160","124116950","99720000000","36000000"
"007690","국도화학","12450","150","1.22","12350","12700","12350","3580","44675500","72342169200","5810616"
"005320","국동","4100","-205","-4.76","4300","4300","4095","2570","10626150","8095040000","1974400"
"060000","국민은행","44650","1150","2.64","44000","44650","43900","1664368","73928935700","15019327529400","336379116"
"001140","국보","3600","-20","-0.55","3680","3680","3600","3390","12252100","3698294400","1027304"
"000680","국제상사","1795","0","0.00","1765","1800","1765","22270","39584850","56394802015","31417717"
"000685","국제상사(1우)","4700","500","11.90","4200","4700","4200","120","558300","174073900","37037"
"002720","국제약품","5200","-70","-1.33","5190","5270","5190","3101","16294900","13090896000","2517480"
"008670","굿모닝신한증권","5500","200","3.77","5410","5510","5350","861286","4677486600","855669925000","155576350"
"008675","굿모닝신한증권(1우)","3005","135","4.70","2950","3100","2870","15938","47159440","11489058570","3823314"
"000470","그린화재보험","3980","-20","-0.50","3940","4000","3940","2460","9791400","35024000000","8800000"
"015360","극동가스","12950","-50","-0.38","12900","13000","12900","1960","25455500","77700000000","6000000"
"014530","극동유화","5150","150","3.00","5000","5150","4970","270","1352300","12102500000","2350000"
"006250","극동전선","17250","50","0.29","17200","17250","17050","480","8241000","43056000000","2496000"
"010200","극동제혁","3550","25","0.71","3600","3600","3500","3840","13593300","3995667000","1125540"
"002250","근화제약","9030","-20","-0.22","9050","9100","8920","15620","140963100","29437718730","3259991"
"002380","금강고려","109500","3500","3.30","105000","110000","104000","61208","6575256000","1151940000000","10520000"
