종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"048550","SM C&C","2960","-50","-1.66",,,,,"1049","2.82","0","0.00"
"063440","SM Life Design","2250","-110","-4.66","40","56.25",,,"1068","2.11","0","0.00"
"064960","SNT모티브","42000","-500","-1.18","5787","7.26","6051","6.94","61655","0.68","1600","3.81"
"100840","SNT에너지","18650","-800","-4.11","1957","9.53",,,"37171","0.50","800","4.29"
"003570","SNT중공업","9340","-90","-0.95","2666","3.50","1013","9.22","29158","0.32","400","4.28"
"036530","SNT홀딩스","15700","-300","-1.88","5329","2.95",,,"65710","0.24","700","4.46"
"005610","SPC삼립","71300","-800","-1.11","4990","14.29","7854","9.08","41335","1.72","1500","2.10"
"011810","STX","5500","-660","-10.71",,,,,"2337","2.35","0","0.00"
"077970","STX엔진","13450","450","3.46","2","6725.00",,,"10271","1.31","0","0.00"
"071970","STX중공업","7080","-390","-5.22",,,,,"5428","1.30","0","0.00"
"002820","SUN&L","3100","-90","-2.82",,,,,"14375","0.22","80","2.58"
"289080","SV인베스트먼트","1905","-75","-3.79","201","9.48",,,"1297","1.47","60","3.15"
"084870","TBH글로벌","1640","-80","-4.65",,,,,"2622","0.63","0","0.00"
"002710","TCC스틸","9350","-70","-0.74","1242","7.53",,,"6507","1.44","150","1.60"
"089230","THE E&M","315","1","0.32",,,,,"494","0.64","0","0.00"
"161570","THE MIDONG","1055","30","2.93",,,,,"1194","0.88","0","0.00"
"032540","TJ미디어","6200","10","0.16","230","26.96",,,"5781","1.07","60","0.97"
"022220","TKG애강","1345","-55","-3.93","88","15.28",,,"1740","0.77","0","0.00"
"069260","TKG휴켐스","20000","-500","-2.44","1972","10.14","2833","7.06","18226","1.10","1000","5.00"
"048770","TPC","3235","-85","-2.56","139","23.27",,,"2590","1.25","35","1.08"
"246690","TS인베스트먼트","1655","5","0.30","258","6.41",,,"1593","1.04","10","0.60"
"317240","TS트릴리온","649","-12","-1.82",,,,,"167","3.89","0","0.00"
"002900","TYM","2880","-50","-1.71","195","14.77","756","3.81","1714","1.68","20","0.69"
"038340","UCI","2040","0","0.00",,,,,"1740","1.17","0","0.00"
"024070","WISCOM","2695","0","0.00","79","34.11",,,"7839","0.34","50","1.86"
"057030","YBM넷","3360","-180","-5.08","158","21.27",,,"2651","1.27","100","2.98"
"037270","YG PLUS","4410","-25","-0.56","348","12.67",,,"2125","2.08","0","0.00"
"040300","YTN","5580","10","0.18","1228","4.54",,,"5759","0.97","50","0.90"
"051390","YW","3300","-80","-2.37","308","10.71",,,"8638","0.38","100","3.03"
"052220","iMBC","3220","-20","-0.62","48","67.08",,,"2403","1.34","0","0.00"
"079940","가비아","10150","0","0.00","898","11.30",,,"7620","1.33","70","0.69"
"078890","가온미디어","7670","120","1.59","1353","5.67",,,"11534","0.66","100","1.30"
"000500","가온전선","19500","-900","-4.41","1285","15.18",,,"58877","0.33","420","2.15"
"399720","가온칩스","14200","-850","-5.65","677","20.97",,,"2319","6.12","0","0.00"
"036620","감성코퍼레이션","1870","-15","-0.80","4","467.50","274","6.83","373","5.01","0","0.00"
"000860","강남제비스코","20750","-250","-1.19","6948","2.99",,,"90881","0.23","500","2.41"
"217730","강스템바이오텍","2895","-5","-0.17",,,,,"1791","1.62","0","0.00"
"035250","강원랜드","23200","-350","-1.49",,,"1610","14.41","16044","1.45","0","0.00"
"114190","강원에너지","8800","80","0.92","287","30.66",,,"1095","8.04","0","0.00"
"094480","갤럭시아머니트리","4150","-150","-3.49",,,,,"2784","1.49","45","1.08"
"011420","갤럭시아에스엠","1700","-45","-2.58","134","12.69",,,"1200","1.42","0","0.00"
"039240","경남스틸","2915","-140","-4.58","245","11.90",,,"3708","0.79","100","3.43"
"053950","경남제약","2680","305","12.84",,,,,"3199","0.84","0","0.00"
"002100","경농","10100","-250","-2.42","890","11.35",,,"11888","0.85","350","3.47"
"009450","경동나비엔","33800","-300","-0.88","5898","5.73",,,"31164","1.08","450","1.33"
"267290","경동도시가스","25300","-1550","-5.77","3756","6.74",,,"63687","0.40","875","3.46"
"012320","경동인베스트","98500","-4500","-4.37","6714","14.67",,,"197979","0.50","750","0.76"
"011040","경동제약","7870","0","0.00","460","17.11",,,"9540","0.82","500","6.35"
"000050","경방","10800","-300","-2.70","872","12.39",,,"30033","0.36","125","1.16"
"214390","경보제약","10000","70","0.70",,,,,"6095","1.64","50","0.50"
"012610","경인양행","4090","-110","-2.62","589","6.94",,,"5553","0.74","50","1.22"
"009140","경인전자","24200","-200","-0.82","2843","8.51",,,"45795","0.53","250","1.03"
"024910","경창산업","1995","0","0.00","119","16.76",,,"2507","0.80","0","0.00"
