종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"109860","동일금속","18250","0","0.00","1783","10.24",,,"16682","1.09","250","1.37"
"032960","동일기연","12950","100","0.78","2214","5.85",,,"17138","0.76","40","0.31"
"004890","동일산업","185500","1000","0.54","20212","9.18",,,"185606","1.00","4000","2.16"
"002690","동일제강","2070","-75","-3.50","542","3.82",,,"7761","0.27","20","0.97"
"023790","동일철강","1900","-5","-0.26",,,,,"2553","0.74","0","0.00"
"005290","동진쎄미켐","29950","-650","-2.12","2008","14.92","1552","19.30","10764","2.78","110","0.37"
"025900","동화기업","49700","-600","-1.19","2161","23.00","3010","16.51","34328","1.45","0","0.00"
"000020","동화약품","9260","-260","-2.73","647","14.31",,,"12534","0.74","180","1.94"
"000150","두산","83100","-500","-0.60","11890","6.99","10677","7.78","121631","0.68","2000","2.41"
"000157","두산2우B","81100","-1300","-1.58",,,,,,,"2000","2.47"
"241560","두산밥캣","34600","-1400","-3.89","3845","9.00","6363","5.44","43105","0.80","1200","3.47"
"034020","두산에너빌리티","15400","-300","-1.91","1052","14.64","762","20.22","11261","1.37","0","0.00"
"000155","두산우","47550","-1100","-2.26",,,,,,,"2050","4.31"
"131970","두산테스나","27500","-900","-3.17","2776","9.91","3065","8.97","15444","1.78","160","0.58"
"336260","두산퓨얼셀","29350","-1100","-3.61","106","276.89","323","90.77","6332","4.64","0","0.00"
"33626K","두산퓨얼셀1우","9330","-490","-4.99",,,,,,,"0","0.00"
"33626L","두산퓨얼셀2우B","11700","-200","-1.68",,,,,,,"0","0.00"
"016740","두올","2445","-45","-1.81","492","4.97",,,"5970","0.41","80","3.27"
"073190","듀오백","1925","-80","-3.99",,,,,"2193","0.88","0","0.00"
"030350","드래곤플라이","742","-28","-3.64",,,,,"1200","0.62","0","0.00"
"203650","드림시큐리티","2750","-60","-2.14","258","10.66",,,"1460","1.88","0","0.00"
"223250","드림씨아이에스","10700","-650","-5.73","575","18.61",,,"6957","1.54","0","0.00"
"060570","드림어스컴퍼니","2785","-45","-1.59",,,,,"1138","2.45","0","0.00"
"192650","드림텍","9100","-350","-3.70","1071","8.50",,,"5263","1.73","300","3.30"
"217620","디딤이앤에프","1150","25","2.22",,,,,"234","4.91","0","0.00"
"016670","디모아","421","-27","-6.03","40","10.53",,,"701","0.60","0","0.00"
"187870","디바이스이엔지","13850","-450","-3.15","4526","3.06",,,"18620","0.74","450","3.25"
"066670","디스플레이텍","4465","-85","-1.87","344","12.98",,,"9731","0.46","80","1.79"
"024090","디씨엠","13550","-400","-2.87","5524","2.45",,,"25636","0.53","900","6.64"
"003160","디아이","4745","-170","-3.46","592","8.02",,,"5534","0.86","200","4.21"
"092200","디아이씨","3370","-30","-0.88","753","4.48",,,"2400","1.40","0","0.00"
"110990","디아이티","5350","-80","-1.47",,,,,"9224","0.58","0","0.00"
"078590","디아크","2380","0","0.00",,,,,"201","11.84","0","0.00"
"263690","디알젬","10600","50","0.47","1123","9.44",,,"5527","1.92","140","1.32"
"214680","디알텍","1385","-20","-1.42","74","18.72",,,"779","1.78","0","0.00"
"263720","디앤씨미디어","22600","-400","-1.74","1271","17.78","798","28.31","5615","4.02","0","0.00"
"376300","디어유","28800","0","0.00",,,"1556","18.50","5623","5.12","0","0.00"
"141020","디에스앤엘","1335","0","0.00",,,,,"5056","0.26","0","0.00"
"109740","디에스케이","5090","20","0.39",,,,,"5255","0.97","0","0.00"
"196490","디에이테크놀로지","3285","-155","-4.51",,,,,"3887","0.85","0","0.00"
"066900","디에이피","2745","-45","-1.61","463","5.93",,,"6501","0.42","0","0.00"
"180400","디엑스앤브이엑스","7740","0","0.00",,,,,"1235","6.27","0","0.00"
"127120","디엔에이링크","3765","-290","-7.15",,,,,"1999","1.88","0","0.00"
"092070","디엔에프","13200","-600","-4.35","1083","12.19","1875","7.04","12426","1.06","200","1.52"
"039840","디오","19700","-450","-2.23","1932","10.20",,,"12629","1.56","0","0.00"
"013570","디와이","5300","-150","-2.75",,,,,"13963","0.38","120","2.26"
"219550","디와이디","1240","-55","-4.25",,,,,"107","11.59","0","0.00"
"310870","디와이씨","1540","-105","-6.38",,,,,"2008","0.77","0","0.00"
"210540","디와이파워","12250","-550","-4.30","2814","4.35",,,"20476","0.60","300","2.45"
"104460","디와이피엔에프","40700","250","0.62","499","81.56",,,"9939","4.09","100","0.25"
"079810","디이엔티","9590","-150","-1.54","62","154.68","1147","8.36","1711","5.60","0","0.00"
"113810","디젠스","954","-46","-4.60","115","8.30",,,"518","1.84","0","0.00"
"043360","디지아이","3015","-95","-3.05",,,,,"5102","0.59","0","0.00"
"197140","디지캡","3980","-290","-6.79","9","442.22",,,"4680","0.85","0","0.00"
"068930","디지털대성","6680","-40","-0.60","662","10.09","795","8.40","5502","1.21","300","4.49"
"033130","디지틀조선","2920","65","2.28","74","39.46",,,"2225","1.31","20","0.68"
"105740","디케이락","11250","-100","-0.88","1065","10.56","2015","5.58","11709","0.96","200","1.78"
"263020","디케이앤디","2795","-45","-1.58",,,,,"3477","0.80","50","1.79"
"290550","디케이티","8040","40","0.50","531","15.14",,,"4785","1.68","0","0.00"
"187220","디티앤씨","4670","-660","-12.38",,,,,"7925","0.59","0","0.00"
"383930","디티앤씨알오","9010","-500","-5.26","1122","8.03",,,"3695","2.44","0","0.00"
"131180","딜리","1365","-60","-4.21","110","12.41",,,"2057","0.66","40","2.93"
"315640","딥노이드","5680","-240","-4.05",,,,,"1468","3.87","0","0.00"
"317120","라닉스","4865","-100","-2.01",,,,,"2002","2.43","0","0.00"
"042510","라온시큐어","2105","-40","-1.86",,,,,"805","2.61","0","0.00"
"232680","라온테크","8750","-190","-2.13","504","17.36",,,"1582","5.53","0","0.00"
"300120","라온피플","4885","-65","-1.31",,,,,"2522","1.94","0","0.00"
"171120","라이온켐텍","7010","-220","-3.04","475","14.76",,,"6456","1.09","200","2.85"
"069540","라이트론","2840","-25","-0.87",,,"153","18.50","2142","1.33","0","0.00"
"347700","라이프시맨틱스","4130","-55","-1.31",,,,,"1290","3.20","0","0.00"
"214260","라파스","15900","-550","-3.34","578","27.51",,,"6092","2.61","0","0.00"
"115390","락앤락","6270","-30","-0.48","311","20.16",,,"13779","0.46","0","0.00"
"200350","래몽래인","21200","-950","-4.29","465","45.59",,,"7145","2.97","0","0.00"
"171010","램테크놀러지","5430","-80","-1.45","237","22.91",,,"3166","1.72","0","0.00"
"084650","랩지노믹스","6300","200","3.28","2497","2.52",,,"4747","1.33","300","4.76"
"217500","러셀","2640","-110","-4.00","213","12.39",,,"1719","1.54","30","1.14"
"141080","레고켐바이오","42850","-1500","-3.38",,,,,"9497","4.51","0","0.00"
"038390","레드캡투어","19050","-350","-1.80","1485","12.83",,,"21711","0.88","800","4.20"
"294140","레몬","3220","-100","-3.01",,,,,"761","4.23","0","0.00"
"228670","레이","23900","-200","-0.83",,,"1782","13.41","6981","3.42","0","0.00"
"228850","레이언스","11000","-50","-0.45","919","11.97","1438","7.65","12746","0.86","100","0.91"
"412350","레이저쎌","6210","-260","-4.02",,,,,"1739","3.57","0","0.00"
"281740","레이크머티리얼즈","4370","-165","-3.64","275","15.89","580","7.54","884","4.94","0","0.00"
"277810","레인보우로보틱스","34450","400","1.17",,,"199","173.02","2895","11.90","0","0.00"
"215100","로보로보","6650","160","2.47",,,,,"1497","4.44","0","0.00"
"090360","로보스타","18650","-250","-1.32","168","111.01",,,"8829","2.11","0","0.00"
"108490","로보티즈","22500","-200","-0.88","65","346.15",,,"6164","3.65","0","0.00"
"067730","로지시스","3860","-115","-2.89","215","17.95",,,"1942","1.99","150","3.89"
"071280","로체시스템즈","7970","-400","-4.78","634","12.57","1676","4.76","5602","1.42","20","0.25"
"032350","롯데관광개발","14450","-150","-1.03",,,,,"811","17.82","0","0.00"
"089860","롯데렌탈","27650","-550","-1.95","3687","7.50","4642","5.96","33557","0.82","900","3.25"
"000400","롯데손해보험","1415","5","0.35","379","3.73",,,"3242","0.44","0","0.00"
"023530","롯데쇼핑","91000","-1800","-1.94",,,"8243","11.04","356677","0.26","2800","3.08"
"004000","롯데정밀화학","56700","-1300","-2.24","22986","2.47","13678","4.15","86322","0.66","2300","4.06"
"286940","롯데정보통신","23500","-500","-2.08","2291","10.26","2199","10.69","28633","0.82","700","2.98"
"280360","롯데제과","122500","-1000","-0.81","5442","22.51","15070","8.13","192466","0.64","1600","1.31"
"004990","롯데지주","30800","-1350","-4.20","4315","7.14","3271","9.42","97570","0.32","1500","4.87"
"00499K","롯데지주우","42400","0","0.00",,,,,,,"1550","3.66"
"005300","롯데칠성","176000","-2500","-1.40","13341","13.19","16094","10.94","143885","1.22","3000","1.70"
"005305","롯데칠성우","74600","0","0.00",,,,,,,"3005","4.03"
"011170","롯데케미칼","178500","-6000","-3.25","37395","4.77","13927","12.82","400457","0.45","8300","4.65"
"071840","롯데하이마트","12250","-450","-3.54",,,,,"78984","0.16","1000","8.16"
"328130","루닛","29800","450","1.53",,,,,"187","159.36","0","0.00"
"038060","루멘스","1020","0","0.00",,,,,"1568","0.65","0","0.00"
"085370","루트로닉","19750","-400","-1.99","1096","18.02","1718","11.50","4715","4.19","192","0.97"
"08537M","루트로닉3우C","28850","800","2.85",,,,,,,"302","1.05"
"060240","룽투코리아","2860","90","3.25",,,,,"2583","1.11","0","0.00"
"058470","리노공업","155500","-4100","-2.57","6839","22.74","8825","17.62","27518","5.65","2500","1.61"
"039980","리노스","857","-30","-3.38","23","37.26",,,"1604","0.53","0","0.00"
"019570","리더스 기술투자","357","-16","-4.29",,,,,"397","0.90","0","0.00"
"016100","리더스코스메틱","3160","-60","-1.86",,,,,"3039","1.04","0","0.00"
"012700","리드코프","7370","-130","-1.73","1570","4.69",,,"16788","0.44","800","10.85"
"302550","리메드","12350","-700","-5.36","123","100.41",,,"4259","2.90","0","0.00"
"377450","리파인","8900","-330","-3.58","1230","7.24",,,"7964","1.12","0","0.00"
"277070","린드먼아시아","4015","-175","-4.18","398","10.09",,,"4011","1.00","42","1.05"
"042500","링네트","4090","-105","-2.50","674","6.07",,,"5940","0.69","0","0.00"
"219420","링크제니시스","5900","-210","-3.44","394","14.97",,,"3532","1.67","0","0.00"
"027740","마니커","1195","25","2.14",,,,,"745","1.60","0","0.00"
"195500","마니커에프앤지","3005","25","0.84",,,,,"4090","0.73","0","0.00"
"305090","마이크로디지탈","3445","80","2.38",,,,,"817","4.22","0","0.00"
"098120","마이크로컨텍솔","5210","-180","-3.34","904","5.76",,,"5012","1.04","30","0.58"
"147760","마이크로프랜드","4550","-140","-2.99","726","6.27",,,"5148","0.88","0","0.00"
"377480","마인즈랩","17400","-50","-0.29","389","44.73",,,"4928","3.53","0","0.00"
"038290","마크로젠","19150","150","0.79","114","167.98","830","23.07","20290","0.94","300","1.57"
"001080","만호제강","29500","-1900","-6.05","2168","13.61",,,"79971","0.37","250","0.85"
"267980","매일유업","52800","-1700","-3.12","9820","5.38","7709","6.85","67256","0.79","1200","2.27"
"005990","매일홀딩스","8400","-160","-1.87","3575","2.35",,,"26268","0.32","150","1.79"
"093520","매커스","7900","-360","-4.36","2076","3.81","1748","4.52","6623","1.19","120","1.52"
"377030","맥스트","12150","600","5.19",,,,,"869","13.98","0","0.00"
"100590","머큐리","5500","-150","-2.65","383","14.36",,,"5858","0.94","0","0.00"
"067280","멀티캠퍼스","35300","-150","-0.42","3439","10.26",,,"23142","1.53","600","1.70"
"072870","메가스터디","10850","0","0.00","2145","5.06",,,"25244","0.43","600","5.53"
"215200","메가스터디교육","79600","-1200","-1.49","6893","11.55","10938","7.28","28762","2.77","2000","2.51"
"133750","메가엠디","2645","-180","-6.37","301","8.79",,,"3017","0.88","150","5.67"
"235980","메드팩토","22250","-800","-3.47",,,,,"2089","10.65","0","0.00"
"041920","메디아나","5350","-330","-5.81","550","9.73",,,"4936","1.08","27","0.50"
"014100","메디앙스","3035","-65","-2.10","378","8.03",,,"8055","0.38","0","0.00"
"054180","메디콕스","3375","115","3.53",,,,,"3504","0.96","0","0.00"
"086900","메디톡스","128000","-5900","-4.41","14716","8.70","6555","19.53","57905","2.21","0","0.00"
"078160","메디포스트","14900","100","0.68",,,,,"9878","1.51","0","0.00"
"065650","메디프론","1150","-35","-2.95",,,,,"970","1.19","0","0.00"
"138040","메리츠금융지주","42700","450","1.07","5932","7.20","12473","3.42","29591","1.44","210","0.49"
"008560","메리츠증권","6240","10","0.16","1201","5.20","871","7.17","8360","0.75","100","1.60"
"000060","메리츠화재","49700","200","0.40","5768","8.62","7773","6.39","22086","2.25","620","1.25"
"021880","메이슨캐피탈","336","-13","-3.72",,,,,"374","0.90","0","0.00"
"140410","메지온","13000","-750","-5.45",,,,,"2355","5.52","0","0.00"
"241770","메카로","10800","100","0.93","816","13.24",,,"15088","0.72","160","1.48"
"090370","메타랩스","2445","-50","-2.00",,,,,"3520","0.69","0","0.00"
"059210","메타바이오메드","2310","-60","-2.53","422","5.47",,,"2547","0.91","20","0.87"
"058110","멕아이씨에스","5860","-430","-6.84","607","9.65",,,"4528","1.29","83","1.42"
"096640","멜파스","1495","0","0.00",,,,,"986","1.52","0","0.00"
"017180","명문제약","2870","45","1.59",,,,,"2374","1.21","0","0.00"
"257370","명성티엔에스","9210","0","0.00",,,,,"3306","2.79","0","0.00"
"009900","명신산업","14350","-200","-1.37","956","15.01","1981","7.24","5662","2.53","0","0.00"
"012690","모나리자","2850","-95","-3.23","89","32.02",,,"2058","1.38","0","0.00"
"005360","모나미","3175","-90","-2.76","827","3.84",,,"5405","0.59","100","3.15"
"080420","모다이노칩","2940","-75","-2.49","144","20.42",,,"4454","0.66","0","0.00"
"417970","모델솔루션","17600","-750","-4.09","1391","12.65",,,"4963","3.55","0","0.00"
"080160","모두투어","17050","-600","-3.40","1012","16.85","683","24.98","4007","4.26","0","0.00"
"087260","모바일어플라이언스","2780","-45","-1.59","77","36.10",,,"1347","2.06","0","0.00"
"101330","모베이스","2875","-125","-4.17","249","11.55",,,"12025","0.24","0","0.00"
"012860","모베이스전자","1220","-55","-4.31","131","9.31",,,"2596","0.47","0","0.00"
"363260","모비데이즈","830","-28","-3.26",,,,,,,"0","0.00"
"348030","모비릭스","11350","-50","-0.44","1083","10.48",,,"7911","1.43","0","0.00"
"250060","모비스","1640","-35","-2.09",,,,,"933","1.76","0","0.00"
"288980","모아데이타","2310","-165","-6.67","57","40.53",,,"707","3.27","0","0.00"
"033200","모아텍","5500","-140","-2.48",,,,,"7713","0.71","0","0.00"
"333050","모코엠시스","1475","-45","-2.96",,,"133","11.09",,,"0","0.00"
"009680","모토닉","8040","-130","-1.59","548","14.67",,,"19169","0.42","400","4.98"
"118990","모트렉스","13600","-850","-5.88","504","26.98","1788","7.61","5680","2.39","0","0.00"
"006920","모헨즈","3480","-150","-4.13",,,,,"2111","1.65","0","0.00"
"009580","무림P&P","4350","-90","-2.03","298","14.60","1828","2.38","9788","0.44","125","2.87"
"001810","무림SP","2605","-155","-5.62","190","13.71",,,"9520","0.27","25","0.96"
"009200","무림페이퍼","2450","-105","-4.11",,,,,"9473","0.26","25","1.02"
"033920","무학","4935","-65","-1.30",,,,,"18822","0.26","230","4.66"
"008420","문배철강","3220","-110","-3.30","1295","2.49",,,"7298","0.44","75","2.33"
"279600","미디어젠","12250","450","3.81","34","360.29",,,"3785","3.24","0","0.00"
"095500","미래나노텍","15000","-850","-5.36","940","15.96",,,"8392","1.79","100","0.67"
"025560","미래산업","10850","-700","-6.06","1843","5.89",,,"19102","0.57","0","0.00"
"218150","미래생명자원","3850","-125","-3.14","64","60.16",,,"1854","2.08","0","0.00"
"007120","미래아이앤지","280","-6","-2.10",,,,,"552","0.51","0","0.00"
"353490","미래에셋대우스팩 5호","2035","0","0.00",,,,,,,"0","0.00"
"100790","미래에셋벤처투자","4270","-100","-2.29","1660","2.57",,,"5131","0.83","83","1.94"
"412930","미래에셋비전스팩1호","2035","15","0.74",,,,,,,"0","0.00"
"085620","미래에셋생명","2890","-10","-0.34","604","4.78","559","5.17","14579","0.20","100","3.46"
"006800","미래에셋증권","6080","-280","-4.40","1803","3.37","930","6.54","16780","0.36","300","4.93"
"00680K","미래에셋증권2우B","3580","-35","-0.97",,,,,,,"300","8.38"
"006805","미래에셋증권우","4040","-75","-1.82",,,,,,,"330","8.17"
"049950","미래컴퍼니","17650","-550","-3.02","817","21.60",,,"13221","1.33","100","0.57"
"207760","미스터블루","3280","-220","-6.29","91","36.04",,,"879","3.73","25","0.76"
"002840","미원상사","166000","-500","-0.30","11641","14.26",,,"59795","2.78","6000","3.61"
"268280","미원에스씨","154000","0","0.00","15897","9.69",,,"65109","2.37","2100","1.36"
"107590","미원홀딩스","110000","0","0.00","14308","7.69",,,"87327","1.26","500","0.45"
"134380","미원화학","68700","0","0.00","5571","12.33",,,"58718","1.17","2500","3.64"
"003650","미창석유","72900","100","0.14","21903","3.33",,,"199594","0.37","2500","3.43"
"059090","미코","7330","-350","-4.56",,,,,"6192","1.18","70","0.95"
"214610","미코바이오메드","4800","-20","-0.41",,,,,"2857","1.68","0","0.00"
"201490","미투온","3890","5","0.13","293","13.28",,,"3262","1.19","0","0.00"
"206640","바디텍메드","10250","-50","-0.49","1937","5.29",,,"6688","1.53","200","1.95"
"018700","바른손","2640","-40","-1.49","559","4.72",,,"2171","1.22","0","0.00"
"035620","바른손이앤에이","998","-52","-4.95","122","8.18",,,"1485","0.67","0","0.00"
"053030","바이넥스","11550","-400","-3.35","614","18.81","663","17.41","5834","1.98","0","0.00"
"301300","바이브컴퍼니","18800","-100","-0.53",,,,,"5853","3.21","0","0.00"
"377740","바이오노트","8580","-290","-3.27","7232","1.19","4497","1.91","13602","0.63","534","6.22"
"064550","바이오니아","29400","-600","-2.00","1073","27.40","1928","15.25","7867","3.74","0","0.00"
"314930","바이오다인","22800","-250","-1.08",,,,,"6546","3.48","0","0.00"
"208710","바이오로그디바이스","990","-15","-1.49",,,,,"1195","0.83","0","0.00"
"086820","바이오솔루션","10600","-100","-0.93",,,,,"5635","1.88","0","0.00"
"038460","바이오스마트","3330","-30","-0.89","73","45.62",,,"5162","0.65","0","0.00"
"251120","바이오에프디엔씨","17000","-600","-3.41","394","43.15",,,"2148","7.91","0","0.00"
"086040","바이오톡스텍","8140","-270","-3.21","487","16.71",,,"2811","2.90","0","0.00"
"099430","바이오플러스","6940","-60","-0.86","206","33.69","483","14.38","1406","4.94","0","0.00"
"032980","바이온","1255","-140","-10.04",,,,,"996","1.26","0","0.00"
"222160","바이옵트로","4540","-10","-0.22","60","75.67",,,"2907","1.56","0","0.00"
"308080","바이젠셀","7120","-260","-3.52",,,,,"5565","1.28","0","0.00"
"043150","바텍","32800","-1150","-3.39","3449","9.51","4941","6.64","18394","1.78","100","0.30"
"323990","박셀바이오","34150","-1950","-5.40",,,,,"1976","17.28","0","0.00"
"003610","방림","4780","-290","-5.72","191","25.03",,,"5145","0.93","45","0.94"
"267790","배럴","7000","140","2.04",,,,,"4611","1.52","0","0.00"
"001340","백광산업","4310","-20","-0.46","337","12.79",,,"4293","1.00","50","1.16"
"046310","백금T&A","3060","-240","-7.27","354","8.64",,,"2638","1.16","0","0.00"
"035150","백산","8180","-210","-2.50","797","10.26","2012","4.06","6016","1.36","100","1.22"
"331520","밸로프","1070","15","1.42",,,,,,,"0","0.00"
"066410","버킷스튜디오","1620","-120","-6.90","1217","1.33",,,"2485","0.65","0","0.00"
"002410","범양건영","3380","-140","-3.98","194","17.42",,,"3456","0.98","0","0.00"
"382900","범한퓨얼셀","26100","-100","-0.38","617","42.30","898","29.07","3756","6.95","0","0.00"
"206400","베노홀딩스","2400","-60","-2.44","367","6.54",,,"3105","0.77","0","0.00"
"019010","베뉴지","2150","-25","-1.15","1036","2.08",,,"7537","0.29","30","1.40"
"177350","베셀","7280","-920","-11.22","718","10.14",,,"3268","2.23","0","0.00"
"299910","베스파","3165","0","0.00",,,,,,,"0","0.00"
"007210","벽산","2020","-10","-0.49",,,,,"4049","0.50","10","0.50"
"225530","보광산업","5680","-100","-1.73","269","21.12",,,"2321","2.45","150","2.64"
"250000","보라티알","10700","-800","-6.96","955","11.20",,,"9223","1.16","200","1.87"
"002760","보락","1610","-35","-2.13","28","57.50",,,"760","2.12","5","0.31"
"003850","보령","9060","-390","-4.13","689","13.15","695","13.04","7192","1.26","100","1.10"
"310210","보로노이","34150","350","1.04",,,,,"634","53.86","0","0.00"
"006910","보성파워텍","3720","-80","-2.11",,,,,"1872","1.99","0","0.00"
"000890","보해양조","617","-3","-0.48",,,,,"611","1.01","0","0.00"
"226340","본느","1660","-55","-3.21",,,,,"730","2.27","0","0.00"
"003000","부광약품","8750","-310","-3.42",,,,,"3938","2.22","100","1.14"
"001270","부국증권","18150","0","0.00","8672","2.09",,,"74017","0.25","1600","8.82"
"001275","부국증권우","18000","-350","-1.91",,,,,,,"1650","9.17"
"026940","부국철강","3205","-140","-4.19","440","7.28",,,"6021","0.53","75","2.34"
"014470","부방","2150","-35","-1.60",,,,,"2920","0.74","0","0.00"
"011390","부산산업","72500","-2300","-3.07",,,,,"52585","1.38","250","0.34"
"005030","부산주공","643","-36","-5.30",,,,,"351","1.83","0","0.00"
"008470","부스타","4870","-30","-0.61","280","17.39",,,"9871","0.49","60","1.23"
"338220","뷰노","6240","-20","-0.32",,,,,"2016","3.10","0","0.00"
"100120","뷰웍스","30150","-750","-2.43","3575","8.43","4164","7.24","20479","1.47","750","2.49"
"337930","브랜드엑스코퍼레이션","4770","-130","-2.65","267","17.87",,,"2324","2.05","100","2.10"
"099390","브레인즈컴퍼니","6740","-210","-3.02","655","10.29",,,"4960","1.36","120","1.78"
"064480","브리지텍","4020","-100","-2.43","245","16.41",,,"3458","1.16","120","2.99"
"288330","브릿지바이오테라퓨틱스","11600","-400","-3.33",,,,,"2184","5.31","0","0.00"
"365900","브이씨","7690","-300","-3.75","1251","6.15",,,"5468","1.41","0","0.00"
"251630","브이원텍","6260","-40","-0.63","818","7.65",,,"6700","0.93","100","1.60"
"018290","브이티지엠피","5250","-30","-0.57","456","11.51",,,"2368","2.22","0","0.00"
"044480","블루베리 NFT","1495","-35","-2.29",,,,,"1430","1.05","0","0.00"
"033560","블루콤","3700","-85","-2.25","4","925.00",,,"9373","0.39","5","0.14"
"369370","블리츠웨이","2015","15","0.75",,,,,"458","4.40","0","0.00"
"126340","비나텍","40000","-1250","-3.03","1351","29.61","1640","24.40","8971","4.46","0","0.00"
"121800","비덴트","3085","-80","-2.53","4876","0.63",,,"12509","0.25","0","0.00"
"148140","비디아이","640","0","0.00",,,,,"262","2.44","0","0.00"
"082800","비보존 제약","637","-13","-2.00",,,,,"501","1.27","0","0.00"
"318410","비비씨","8700","-300","-3.33","635","13.70",,,"12802","0.68","0","0.00"
"002070","비비안","1270","-35","-2.68",,,,,"3466","0.37","0","0.00"
"100220","비상교육","5850","-120","-2.01","494","11.84",,,"16316","0.36","220","3.76"
"419540","비스토스","2385","-170","-6.65",,,,,,,"0","0.00"
"146320","비씨엔씨","15100","-50","-0.33","810","18.64","1251","12.07","3042","4.96","0","0.00"
"200780","비씨월드제약","8470","-60","-0.70","360","23.53",,,"12219","0.69","100","1.18"
"141000","비아트론","8630","-20","-0.23","1175","7.34",,,"13359","0.65","100","1.16"
"090460","비에이치","22450","-800","-3.44","2630","8.54","4381","5.12","13066","1.72","250","1.11"
"083650","비에이치아이","6490","40","0.62",,,"542","11.97","2475","2.62","0","0.00"
"032790","비엔지티","2155","-95","-4.22","266","8.10",,,"1508","1.43","0","0.00"
"445360","비엔케이제1호스팩","1995","0","0.00",,,,,,,"0","0.00"
"142760","비엘","3570","-60","-1.65",,,,,"1475","2.42","0","0.00"
"065170","비엘팜텍","625","-31","-4.73",,,,,"657","0.95","0","0.00"
"086670","비엠티","14900","-450","-2.93","707","21.07",,,"9941","1.50","150","1.01"
"335890","비올","3225","35","1.10","80","40.31","283","11.38","463","6.97","0","0.00"
"138580","비즈니스온","6820","-180","-2.57","261","26.13","403","16.90","2830","2.41","200","2.93"
"082920","비츠로셀","12750","-400","-3.04","796","16.02","1388","9.18","7827","1.63","150","1.18"
"054220","비츠로시스","1235","-45","-3.52","218","5.67",,,"559","2.21","0","0.00"
"042370","비츠로테크","6710","220","3.39","500","13.42",,,"7930","0.85","50","0.75"
"030790","비케이탑스","904","0","0.00",,,,,"333","2.71","0","0.00"
"050090","비케이홀딩스","407","-9","-2.16",,,,,"318","1.28","0","0.00"
"307870","비투엔","1980","-25","-1.25",,,,,"602","3.29","0","0.00"
"357880","비트나인","6860","-260","-3.65","140","49.00",,,"3227","2.13","0","0.00"
"032850","비트컴퓨터","6140","-200","-3.15","294","20.88",,,"3566","1.72","61","0.99"
"148780","비플라이소프트","894","-42","-4.49",,,,,"88","10.16","0","0.00"
"238200","비피도","8500","-250","-2.86","551","15.43",,,"6191","1.37","0","0.00"
"093190","빅솔론","7000","-170","-2.37","1594","4.39",,,"10580","0.66","250","3.57"
"065450","빅텍","5680","110","1.97","184","30.87",,,"2034","2.79","30","0.53"
"005180","빙그레","39250","-850","-2.12",,,"3208","12.24","63095","0.62","1400","3.57"
"072950","빛샘전자","5730","-120","-2.05","676","8.48",,,"10695","0.54","100","1.75"
"143240","사람인에이치알","26400","-50","-0.19","2902","9.10","2923","9.03","13729","1.92","600","2.27"
"003960","사조대림","27150","-350","-1.27","8528","3.18",,,"57550","0.47","300","1.10"
"008040","사조동아원","902","-33","-3.53","18","50.11",,,"1617","0.56","0","0.00"
"007160","사조산업","45000","-350","-0.77","9031","4.98",,,"90026","0.50","300","0.67"
"014710","사조씨푸드","4525","-105","-2.27","572","7.91",,,"13357","0.34","60","1.33"
"006090","사조오양","7990","-70","-0.87","1674","4.77",,,"20876","0.38","200","2.50"
"419120","산돌","12850","-350","-2.65","88","146.02",,,"3052","4.21","2476","19.27"
"100090","삼강엠앤티","20100","0","0.00",,,"1491","13.48","3839","5.24","0","0.00"
"122350","삼기","3375","-80","-2.32",,,,,"3677","0.92","30","0.89"
"014970","삼륭물산","4775","-175","-3.54",,,,,"4184","1.14","75","1.57"
"018310","삼목에스폼","16700","0","0.00","2432","6.87",,,"29100","0.57","100","0.60"
"053700","삼보모터스","5000","-50","-0.99","728","6.87",,,"12923","0.39","50","1.00"
"009620","삼보산업","864","-44","-4.85",,,,,"666","1.30","0","0.00"
"023600","삼보판지","10250","-150","-1.44","3327","3.08",,,"27697","0.37","175","1.71"
"001470","삼부토건","1240","-60","-4.62","59","21.02",,,"1670","0.74","0","0.00"
"006400","삼성SDI","591000","-12000","-1.99","17492","33.79","32389","18.25","219885","2.69","1000","0.17"
"006405","삼성SDI우","277000","-7000","-2.46",,,,,,,"1050","0.38"
"006660","삼성공조","9750","0","0.00",,,,,"27193","0.36","80","0.82"
"380320","삼성머스트스팩5호","3120","-115","-3.55",,,,,,,"0","0.00"
"028260","삼성물산","113500","-4500","-3.81","9913","11.45","10491","10.82","184352","0.62","4200","3.70"
"02826K","삼성물산우B","102000","-4000","-3.77",,,,,,,"4250","4.17"
"207940","삼성바이오로직스","821000","-9000","-1.08","5879","139.65","10775","76.19","74551","11.01","0","0.00"
"032830","삼성생명","71000","-1000","-1.39","8183","8.68","6610","10.74","210566","0.34","3000","4.23"
"377630","삼성스팩4호","4730","-140","-2.87",,,,,,,"0","0.00"
"425290","삼성스팩6호","2800","-80","-2.78",,,,,,,"0","0.00"
"439250","삼성스팩7호","9910","0","0.00",,,,,,,"0","0.00"
"018260","삼성에스디에스","123000","-2500","-1.99","7901","15.57","9926","12.39","93454","1.32","2400","1.95"
"028050","삼성엔지니어링","22250","-850","-3.68","1900","11.71","2591","8.59","10216","2.18","0","0.00"
