,연도,경기국면,PHDH_avgRtn,PHDL_avgRtn,PLDH_avgRtn,PLDL_avgRtn
0,2008,수축기,-0.034479561056842245,-0.04146596633538513,-0.020110950842565756,-0.013938300221241873
1,2009-2011,확장기,0.017134325111909154,0.022094449693596863,0.03330214067285708,0.03366331467859229
2,2012,수축기,0.0030345539234588603,0.009883318811801933,0.011961133930385115,0.0008059811860967603
3,2013-2017,확장기,0.0026574266726544504,0.0028938317057880525,0.01789605551463902,0.022140509349971138
4,2018-2019,수축기,-0.01100567082863868,-0.013463802061532637,0.0004967224235903345,0.006668783512539855
5,2020-2021,확장기,0.011042599984168122,0.0188870593716699,0.030342082583952434,0.03223528019706756
