종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"005760","ACTS","7480","-320","-4.10","7720","7960","7370","128475","963740000","42825214080","5725296"
"015670","AP우주통신","840","-20","-2.33","845","865","805","1719890","1440595300","28504234080","33933612"
"015675","AP우주통신(1우B)","4895","155","3.27","5290","5290","4500","510","2392600","175588545","35871"
"004560","BNG스틸","6050","110","1.85","5940","6060","5900","29220","175014500","75720656550","12515811"
"004565","BNG스틸(1우)","5740","40","0.70","5990","6550","5500","2010","11833900","630550480","109852"
"001460","BYC","118500","500","0.42","118000","119000","114500","101","11936500","74016877500","624615"
"001465","BYC(1우)","53000","-300","-0.56","53000","53000","52100","70","3692000","11415405000","215385"
"001040","CJ","104500","1500","1.46","103000","107000","103000","148148","15587280500","2513666721500","24054227"
"001045","CJ(1우)","63300","1400","2.26","61900","63600","61900","16150","1012759000","227098624800","3587656"
"001047","CJ(2우B)","84000","1200","1.45","83000","84000","82000","1550","129120000","127052436000","1512529"
"001049","CJ(3우B)","82700","1800","2.22","81500","82900","81500","490","40261000","69989506200","846306"
"079160","CJCGV","29750","1100","3.84","28850","30000","28700","303581","8974496100","613303628000","20615248"
"004530","CKF","15400","0","0.00","15300","15650","14700","32290","486167500","36906300200","2396513"
"069730","DSR제강","1570","0","0.00","1590","1590","1525","251350","387859050","22608000000","14400000"
"017940","E1","41700","1450","3.60","39550","41700","39550","4060","165450500","286062000000","6860000"
"007700","F&F","5420","0","0.00","5350","5600","5170","163020","875094400","83468000000","15400000"
"001370","FnC코오롱","10950","-450","-3.95","11400","11500","10450","97534","1068749800","131439420000","12003600"
"001375","FnC코오롱(1우)","5560","-160","-2.80","5600","5600","5320","9210","50265700","4028870520","724617"
"078930","GS","23550","-300","-1.26","23950","24050","23350","624941","14751010150","2188157151900","92915378"
"078935","GS(1우)","19100","100","0.53","19000","19100","18900","4940","94029000","34090176600","1784826"
"006360","GS건설","53000","1000","1.92","50900","53000","50900","120531","6285914000","2703000000000","51000000"
"035000","GⅡR","18100","50","0.28","18100","18450","17800","23870","433496500","213089490000","11772900"
"003560","IHQ","9220","200","2.22","9100","9380","9080","278268","2572317260","341819633860","37073713"
"004020","INI스틸","20950","700","3.46","20500","21250","20350","1210303","25200462350","1914786403050","91397919"
"004025","INI스틸(1우B)","17100","0","0.00","17100","17350","17100","1070","18348000","7123107600","416556"
"002380","KCC","210000","3000","1.45","206000","212500","205000","26781","5610389000","2209200000000","10520000"
"009070","KCTC","125000","11500","10.13","128000","128000","122500","912","115171500","50000000000","400000"
"017300","KDS","1555","20","1.30","1535","1635","1520","387395","612943920","16306927350","10486770"
"006200","KEC","2220","-50","-2.20","2270","2325","2215","636059","1442785325","178816493400","80547970"
"001390","KG케미칼","6420","-100","-1.53","6470","6640","6400","55240","356606600","68694000000","10700000"
"030200","KT","40850","-250","-0.61","41100","41150","40450","961477","39106493200","11636097990000","284849400"
"033780","KT&G","45050","-950","-2.07","46050","46200","45050","404723","18400501850","7318034489850","162442497"
"030210","KTB네트워크","5940","360","6.45","5590","6070","5590","1550823","9127573120","358265706480","60314092"
"032390","KTF","24650","650","2.71","23750","24650","23450","1236585","29696350300","4537259413350","184067319"
"003550","LG","31600","300","0.96","31400","31750","31050","1124767","35507214100","5452805339600","172557131"
"003555","LG(1우)","21200","250","1.19","20700","21300","20700","13080","275423500","70271152400","3314677"
"001120","LG상사","23350","250","1.08","23000","24250","22450","678716","15899159100","1587800000000","68000000"
"068870","LG생명과학","49400","200","0.41","49200","49950","48600","180723","8904246700","818903306000","16576990"
"068875","LG생명과학(1우)","32400","-800","-2.41","33200","33500","32250","1150","37866000","7653398400","236216"
"051900","LG생활건강","55000","-1000","-1.79","55200","56100","54700","44955","2476495000","859000835000","15618197"
"051905","LG생활건강(1우)","32400","1050","3.35","31450","32500","31250","1720","55114000","68030182800","2099697"
"012990","LG석유화학","25200","-700","-2.70","25700","25900","25100","525175","13285608900","1139040000000","45200000"
"066570","LG전자","89300","-400","-0.45","90100","91300","89300","837383","75573164300","12707840072000","142305040"
"066575","LG전자(1우)","59500","1000","1.71","59000","59900","59000","82691","4918959500","1022566524000","17185992"
"032710","LG카드","50500","1550","3.17","49400","51100","49000","420126","21159881500","6331154851500","125369403"
"034220","LG필립스LCD","42950","0","0.00","43050","43500","42850","1251244","54112003800","15368184315000","357815700"
"002550","LG화재","20150","1150","6.05","19600","20700","19400","1269700","25641631000","1209000000000","60000000"
"051910","LG화학","57000","0","0.00","57400","57400","56100","198557","11256826000","3672228648000","64425064"
"051915","LG화학(1우)","40000","-1300","-3.15","40600","41050","40000","18392","747584000","346450040000","8661251"
"010120","LS산전","27800","900","3.35","27100","27800","26700","222910","6121093500","834000000000","30000000"
"006260","LS전선","34700","1350","4.05","33400","34700","33350","114651","3910901200","1117340000000","32200000"
"076170","MK픽처스","1680","-35","-2.04","1715","1750","1680","1316446","2252553930","74872543200","44566990"
"008260","NI테크","1050","10","0.96","1045","1070","1040","321401","337754700","29848192500","28426850"
"005490","POSCO","202000","500","0.25","202000","203000","202000","207135","41930848500","17611740670000","87186835"
"036530","S&TC","27950","50","0.18","27800","28000","27100","22850","636004000","209625000000","7500000"
"003570","S&T중공업","1500","10","0.67","1530","1540","1500","1468115","2226262300","241991358000","161327572"
"010950","S-Oil","70600","400","0.57","70100","70600","69800","233113","16377260800","7948345115200","112582792"
"010955","S-Oil(1우)","58700","1100","1.91","57600","58700","56100","33510","1938032000","236087114900","4021927"
"034120","SBS","66800","2300","3.57","66000","66900","64600","68818","4563678400","1741817815600","26075117"
"002360","SH케미칼","2825","25","0.89","2775","2925","2775","13680","38803150","25693547325","9095061"
"002365","SH케미칼(1우)","77200","0","0.00","0","0","0","0","0","48018400","622"
"009160","SIMPAC","1515","0","0.00","1515","1540","1495","228750","344923975","39390000000","26000000"
"025530","SJM","5540","-70","-1.25","5650","5650","5480","163222","905099850","98718041140","17819141"
"003600","SK","52100","-300","-0.57","52700","52800","51800","893454","46637514400","6703973856200","128675122"
"003605","SK(1우)","44400","-600","-1.33","46000","46000","44250","1130","50852000","78070562400","1758346"
"011790","SKC","11950","-150","-1.24","12100","12200","11950","261343","3146272500","393089012100","32894478"
"018670","SK가스","37450","450","1.22","37300","37450","36800","3950","146832500","323143504250","8628665"
"001740","SK네트웍스","15500","100","0.65","15200","15500","15200","46944","719926000","3675405337500","237122925"
"001745","SK네트웍스(1우)","13850","150","1.09","13600","13850","13600","380","5214000","1574024800","113648"
"001510","SK증권","1555","15","0.97","1570","1605","1540","21917745","34572825835","497782200905","320117171"
"001515","SK증권(1우)","2050","-70","-3.30","2120","2190","2050","165450","349968050","8020653700","3912514"
"006120","SK케미칼","28200","450","1.62","27850","28600","27400","168452","4747443400","500706143400","17755537"
"006125","SK케미칼(1우)","13400","150","1.13","13250","13650","13150","28360","380460000","36006081400","2687021"
