,Date,BH_pbr_avg,BL_pbr_avg,SH_pbr_avg,SL_pbr_avg,SMB,HML
0,2001-02-28,0.2408283370181895,0.3008035655364432,0.15323180078587784,0.1904405938039591,0.07285644331252056,0.14843805813386618
1,2001-03-31,0.06207878702202607,-0.003722025263716501,0.045265877446428536,0.07662092056986469,0.09270841713713845,0.07089521681538052
2,2001-04-30,-0.154256926508608,-0.0283970953408281,-0.049847263696430756,-0.07171190882872851,-0.030232161600441218,-0.15404968812026046
3,2001-05-31,0.09553532950776718,0.14429069530999925,0.039616113621508395,0.039070173763959604,-0.04122672502341522,0.04347100859229615
4,2001-06-30,0.18442436210899768,0.15360211250985709,0.13302740698896212,0.12256544224413801,0.08657961192367272,0.17936799172096224
5,2001-07-31,-0.009845800851069028,0.06351676033147259,0.01971492074970955,0.019032669628701208,0.011912110638208979,-0.03140559508144638
6,2001-08-31,-0.17341550688771376,-0.12349319534153731,-0.09288414079482983,-0.09639736986250358,-0.04082715954270785,-0.15635436508052317
7,2001-09-30,0.025220675534695276,-0.06073139336925292,-0.03724933418139248,-0.03988950115236925,-0.05938347641648291,0.03828178861411388
8,2001-10-31,-0.022554171592010525,-0.08597414976709199,-0.06001326973926609,-0.11282852225827973,-0.11857763131799456,0.01683389468140925
9,2001-11-30,0.027914641671522744,0.07356028993151204,0.09407189423164557,0.15123481932616564,0.1945692477562938,0.009588981274329472
10,2001-12-31,0.23482385986538054,0.2010996781911961,0.11594046993854178,0.0910415993987948,-0.010979699690951722,0.20469369100892687
11,2002-01-31,0.05557634199059271,0.0639225003307274,0.023370334286656483,0.011960585311466298,-0.02441850156253727,0.041005133456152344
12,2002-02-28,0.08053405833579996,0.11876575531707541,0.11988759014823845,0.10596956833917603,0.12620725166097682,0.08805398665591271
13,2002-03-31,0.18873418189415514,0.2390505965306567,0.11735416623074231,0.027062978177557893,-0.06947524480410572,0.17303156077079015
14,2002-04-30,0.06057859890745084,0.1342054471688696,0.07666564242077809,0.0233406819915116,0.002614301374129463,0.05847117674803834
15,2002-05-31,-0.07785250047505639,-0.05267910664803167,-0.07047872906617517,-0.0460131887674385,-0.051226114272069634,-0.09898508183349648
16,2002-06-30,-0.053046316414251636,-0.13498623053811365,-0.055889079022166346,-0.006622979586616287,0.031504214867400016,-0.03813079037405301
17,2002-07-31,0.031206890819127475,-0.09436903815760272,-0.06663978941837206,-0.06492600654198633,-0.09998472229112076,0.044214623750549936
18,2002-08-31,-0.020665344412845583,-0.01431749405039647,-0.003917391083964165,-0.01769041115869973,-0.004116383011042869,-0.008578782892261647
19,2002-09-30,0.10395437865089947,0.03620638670373485,0.0738216351988312,0.03784714481207606,0.0415883973335901,0.14074924809182524
20,2002-10-31,-0.16761471853935708,-0.17175530434152642,-0.10273316439627216,-0.1153614752925099,-0.04840962824834033,-0.12678949311861107
21,2002-11-30,0.01585458528262773,-0.002823489987762705,0.0075976697592772206,0.027502030302275524,0.028584152414120233,0.011112984884648541
22,2002-12-31,0.12335332087728786,0.1802782618835768,0.0673600679311363,0.07069976009421323,-0.013755963355082779,0.06522437781952914
23,2003-01-31,-0.11440403429629369,-0.10317288604176628,-0.12477839768334391,-0.12526327661929698,-0.14125321413361092,-0.12496435064910597
24,2003-02-28,-0.00415134594678838,-0.008546404450823577,-0.05306733510497706,-0.06515915483778245,-0.11187761474395354,-0.020365901407462424
25,2003-03-31,0.0065186079944393556,-0.01900814832955776,-0.0058687761592028315,0.013324748373427635,0.013700742381784006,0.0034915318133015858
26,2003-04-30,0.014697089329074061,-0.041502291121673335,-0.07082799237256882,-0.0908913905135442,-0.14831678198981338,0.010065937774114013
27,2003-05-31,0.20595288261588607,0.1329471615812409,0.1200728917710479,0.11264705987499829,0.06326992954748273,0.20322866365881437
28,2003-06-30,0.09368914210641077,0.08464790852498355,0.0868639927019779,0.09104578399857681,0.08874125138485753,0.09270628854660848
29,2003-07-31,-0.000337734067649309,0.05295928375220279,0.026250066429701187,0.07151184071179678,0.07145113229922122,-0.03632322986994791
30,2003-08-31,0.053025551536236504,0.09328700953173484,-0.0019012646971638516,0.012368164581046698,-0.06268938065010284,-0.0017033002173181197
31,2003-09-30,0.037433039379598985,0.08449723112095626,0.044345962764281086,-0.001021275363780983,-0.017640447849777516,0.04004102426529242
32,2003-10-31,-0.030323438664350184,-0.10471228113271779,-0.06977001875792449,-0.04787983808963087,-0.050131996949021373,-0.023797397811100338
33,2003-11-30,0.022060368976262068,0.12746128626882827,0.035480739003548374,0.0027761905792737527,-0.036503898039723044,-0.00757763044424057
34,2003-12-31,0.1081852479782885,0.06559233510802767,0.032006012947229344,0.009758068113226128,-0.045124710482702626,0.10251605931489094
35,2004-01-31,0.10062793779763425,0.08082258050440676,0.0512493918161729,0.0043214720306566385,-0.03515439530419097,0.10930530334627545
36,2004-02-29,-0.0868263526920578,0.016872353378848768,0.02038845724570962,-0.026494893736007788,0.02887056316630635,-0.061626625267768666
37,2004-03-31,0.06532277000779162,0.022100100876289663,0.0009625618149111674,0.0364009470999047,-0.0063479265272247745,0.0370348078346056
38,2004-04-30,-0.02643989240067209,-0.005353916395853562,0.001450153286325009,-0.010248831618722918,0.007098226065864917,-0.01718836510705884
39,2004-05-31,-0.061623095210201484,-0.042439560393766715,0.03798010247798927,0.010263956217519231,0.1002753864974926,-0.007555190644088473
40,2004-06-30,-0.09840799699736914,-0.05912507847912539,-0.06554337447363323,-0.0598246123388682,-0.046601449074254175,-0.10447652606200557
